,coffee,cr_rating,coffee_origin,roaster,roaster_location,roast_level,aroma,acidity_structur,body,flavor,agtron,review,review_date,price_estimate
884,Colombia Diofanor Ruiz,94,"Quindío Department, Colombia",Plat Coffee Roastery,"Hong Kong, China",Medium-Light,9,9,9,9,58/76,"Crisply sweet-tart, fruit-toned. Vanilla yogurt, Ibarra chocolate (chocolate with cinnamon), gardenia, amber, date in aroma and cup. Rich, sweetly tart structure with bright, tangy acidity; syrupy-smooth mouthfeel. Resonant, flavor-laden, long finish.",February 2021,$25.00/6 ounces
885,Bright Minds,93,"San José, Caldas, Colombia",Greater Goods Coffee Roasters,"Austin, Texas",Medium-Light,9,8,9,9,60/77,"Richly spice-toned, gently floral. Star anise, baking chocolate, lavender, vanilla, cedar in aroma and cup. Sweetly tart with pert acidity; very smooth, silky mouthfeel. The quietly flavor-laden finish centers around chocolate, lavender and star anise.",February 2021,$18.00/12 ounces
886,Finca Potosi Anaerobic,93,"Valle de Cauca Department, Colombia",modcup coffee,"Jersey City, New Jersey",Medium-Light,9,8,9,9,60/80,"Fruit-forward, sweetly fermenty. Plum wine, almond butter, sassafras, oak, baking chocolate in aroma and cup. Sweet-savory structure with gentle, fruity acidity; full, viscous mouthfeel. Chocolaty finish, supported by notes of plum wine and sassafras.",February 2021,$25.00/150 grams
887,Angamaza,94,"Conganama, Loja Province, Ecuador",JBC Coffee Roasters,"Madison, Wisconsin",Medium-Light,9,9,9,9,60/78,"Bright, delicately fruit-toned. Raspberry jam, rhododendron, white pepper, maple syrup, cedar in aroma and cup. Sweet-toned with crisp, vibrant acidity. Silky, buoyant mouthfeel. Balanced, resonant finish with lingering notes of raspberry and white pepper.",February 2021,$20.00/12 ounces
888,Colombia La Virgen Microlot,92,"Liboriana Valley, Antioquia Department, Colombia",RamsHead Coffee Roasters,"Bozeman, Montana",Medium-Light,9,8,8,9,53/70,"Deep-toned, cocoa-driven. Cocoa powder, golden raisin, molasses, magnolia, fresh-cut fir in aroma and cup. Sweet-toned in structure with brisk acidity; velvety-smooth mouthfeel. The crisp, cocoa-toned finish is supported by notes of magnolia and fresh-cut fir.",February 2021,$15.95/12 ounces
889,Rayo del Sol,93,"Panchia, Tabaconas, Cajamarca Region, Peru",JBC Coffee Roasters,"Madison, Wisconsin",Medium-Light,9,9,8,9,58/78,"High-toned, floral and chocolaty. Dark chocolate, narcissus, almond, brown sugar, apricot in aroma and cup. Sweetly tart with bright acidity; satiny-smooth mouthfeel. The finish centers around notes of dark chocolate and narcissus.",February 2021,$18.00/12 ounces
890,Rock the House Blend,93,Africa; South America; Central America,JBC Coffee Roasters,"Madison, Wisconsin",Medium-Light,9,8,9,9,58/80,"Cocoa-toned, richly sweet. Baking chocolate, date, hazelnut, thyme, a hint of gardenia in aroma and cup. Sweet in structure with gentle, round acidity; lightly syrupy mouthfeel. Chocolaty, sweetly nut-toned finish.",February 2021,$15.75/12 ounces
891,Honduras Catuai/Bourbon,92,"Tres Cruces, Lempira Department, Honduras",Spirit Animal Coffee,"Santa Rosa de Copan, Honduras",Medium-Light,9,8,8,9,56/72,"Crisply sweet, nut-toned. Nutella, plum, cedar, orange zest, a hint of lily in aroma and cup. Sweet structure with gentle, round acidity; velvety-smooth mouthfeel. Floral- and nut-toned finish.",January 2021,$39.00/12 ounces
892,Ethiopia Rhapsody Espresso,95,"Yirgacheffe growing region, southern Ethiopia",One Fresh Cup,"Taipei, Taiwan",Medium-Light,9,9							,9,9,52/70,"Evaluated as espresso. High-toned, richly aromatic, juicy and bright. Bing cherry, dark chocolate, fresh-cut cedar, narcissus-like flowers, marjoram in aroma and small cup. Very full, syrupy mouthfeel; resonant, flavor-saturated finish. Concentrated and balanced in three parts milk",January 2021,NT $599/227 grams
893,Classic Espresso Blend,91,Not disclosed,One Fresh Cup,"Taipei, Taiwan",Medium,8,8							,8,8,45/60,"Evaluated as espresso. Crisp, sweetly spice-toned. Baking chocolate, nutmeg, lily, gently scorched oak, pear in aroma and small cup. Velvety mouthfeel; crisp, chocolaty, wood-framed finish. Pleasantly smoky and cocoa-toned in three parts milk.",January 2021,NT $499/227 grams
894,Kona Geisha Champagne Natural,95,"Kealakekua, Kona, Big Island of Hawaii",Paradise Roasters,"Minneapolis, Minnesota",Light,9,9,9,9,64/84,"Deeply, delicately aromatic, high-toned. Strawberry guava, cocoa nib, mandarinquat, brown sugar, hazelnut in aroma in cup. Sweetly tart with bright, balanced acidity; silky, lightly viscous mouthfeel. Flavor-saturated, long, engaging finish.",January 2021,$74.95/4 ounces
895,Dafis Abafita Natural Ethiopia,95,"Oromia Region, Jimma Zone, Ethiopia",PT's Coffee Roasting Co.,"Topeka, Kansas",Light,9,9,9,9,64/84,"Subtly complex, nuanced, high-toned. Mulberry, cocoa nib, tangerine zest, thyme, agave syrup in aroma and cup. Sweet-tart structure with bright, juicy acidity; plush, viscous mouthfeel. The resonant, flavor-saturated finish carries forward all the flavor notes from the cup.",January 2021,$21.50/12 ounces
896,Berg Wu Championship Sidamo Washed G1 Lot 20-02,95,"Sidama (also Sidamo) growing region, southern Ethiopia",Kakalove Cafe,"Chia-Yi, Taiwan",Light,9,9,9,9,64/84,"Subtly and sweetly rich, deeply savory. Boysenberry, cocoa nib, fine musk, honeysuckle, oak in aroma and cup. Sweet-savory structure with juicy acidity; crisp, syrupy mouthfeel. The finish resonates with layers of perfumy florals.",January 2021,NT $340/8 ounces
897,Ka’u Yellow Bourbon,94,"Ka’u growing region, Big Island of Hawai'i",Big Island Coffee Roasters,"Mountain View, Hawaii",Medium-Light,9,9,9,9,60/78,"Juicy-sweet, high-toned, multi-layered. Strawberry guava, star jasmine, hazelnut, amber, cocoa nib in aroma and cup. Brightly sweet-tart structure with vibrant acidity; lively, satiny-smooth mouthfeel. Fruit- and floral-toned finish.",January 2021,$33.00/10 ounces
898,Ethiopia Natural Hambela Wate,95,"Guji Zone, Oromia Region, southern Ethiopia",Kakalove Cafe,"Chia-Yi, Taiwan",Medium-Light,9,9,9,9,58/76,"Very sweet, fruit-toned. Date, rum barrel, narcissus, dark chocolate, marjoram in aroma and cup. Sweet-tart structure with bright, juicy acidity; plush, syrupy-smooth mouthfeel. Long, complex, harmonious finish.",January 2021,NT $310/8 ounces
899,Kenya Nyeri,93,"Nyeri growing region, south-central Kenya",Nostalgia Coffee Roasters,"San Diego, California",Medium-Light,9,9,8,9,60/78,"Vibrantly sweet-tart, balanced. Lemon drop, red currant, cocoa nib, almond butter, cedar in aroma and cup. Sweetly tart structure with bright, vibrant acidity; crisp, satiny mouthfeel. Finish consolidates to notes of citrusy cocoa and red currant.",January 2021,$28.00/12 ounces
900,Kinini Village Rwanda,94,"Northern Province, Rulindo District, Rwanda",PT's Coffee Roasting Co.,"Topeka, Kansas",Medium-Light,9,9,9,9,58/76,"Citrusy and cocoa-toned. Lemon verbena, baking chocolate, black raspberry, hazelnut, fresh-cut oak in aroma and cup. Sweetly tart structure with crisp, vibrant acidity; smooth, syrupy mouthfeel. Lemon and raspberry notes carry the finish, supported by deep hazelnut tones.",January 2021,$20.00/12 ounces
901,Ethiopia Natural Guji Uraga G1 Lot 20-05,94,"Guji Zone, Oromia Region, southern Ethiopia",Kakalove Cafe,"Chia-Yi, Taiwan",Medium-Light,9,9,9,9,58/78,"Richly aromatic, sweetly tart, deeply savory. Lilac, dark chocolate, lemon drop, pink grapefruit zest, shiitake mushroom in aroma and cup. Harmonious sweet-tart-savory structure; lyrical, syrupy-smooth mouthfeel. The flavor-saturated finish leads with citrus notes (lemon drop, pink grapefruit zest) in the short, rounding to deep chocolate and sweet mushroom notes in the long.",January 2021,NT $375/8 ounces
902,Ethiopia Honey Yirgacheffe Koke,93,"Yirgacheffe growing region, south-central Ethiopia",Oceana Coffee,"Tequesta, Florida",Medium-Light,9,8,9,9,60/77,"Fruit-forward, deep-toned. Blueberry jam, dark chocolate, magnolia, lemon verbena, maple syrup in aroma and cup. Sweet structure with pert acidity; full, syrupy mouthfeel. The berry-driven finish is supported by suggestions of dark chocolate and lemon verbena.",January 2021,$22.00/12 ounces
903,Ka’u Lehua Black Honey,93,"Ka’u growing region, Big Island of Hawai'i",Big Island Coffee Roasters,"Mountain View, Hawaii",Medium-Light,9,8,9,9,58/78,"Sweetly savory, complex. Pipe tobacco, date, narcissus, almond, baking chocolate in aroma and cup. Sweet-toned with lively acidity; very full, creamy mouthfeel. The finish centers on notes of date and pipe tobacco.",January 2021,$27.00/10 ounces
904,Espresso Havana,93,Indonesia; Ethiopia,Paradise Roasters,"Minneapolis, Minnesota",Medium,9,8							,9,8,47/63,"Evaluated as espresso. Rich, chocolaty, floral. Chocolate fudge, magnolia, blueberry pie, pipe tobacco, almond brittle in aroma and small cup. Crisp, satiny mouthfeel. The chocolaty finish is pleasantly complicated by notes of pipe tobacco. Cappuccino-scaled milk amplifies the chocolate and floral notes.",January 2021,$18.95/12 ounces
905,Taiwan Taitung Luan Mountain Valley of Tears,92,"Taitung Luan Mountain, Taiwan",MT49 Cafe,"Taichung City, Taiwan",Medium-Light,8,8,9,9,60/78,"Rich-toned, sweetly savory. Grape candy, salted chocolate, almond, gardenia, sandalwood in aroma and cup. Savory-leaning structure with gentle acidity; syrupy-smooth mouthfeel. Salted chocolate and gardenia notes lead in the long finish, supported by sandalwood.",January 2021,NT $800/8 ounces
906,Thailand Robusta Panid Choosit Espresso,91,"Tha Sae, Chumphon, Thailand",Paradise Roasters,"Minneapolis, Minnesota",Medium,8,8							,9,7,48/62,"Evaluated as espresso. Sweetly tart, nut-toned. Almond butter, carob, lemon zest, date, magnolia in aroma and small cup. Crisp, satiny mouthfeel; nutty finish with hints of carob and lemon zest. In three parts milk, almond and magnolia notes gently harmonize.",January 2021,$16.95/12 ounces
907,Kenya Nyeri Muchoki Estate AA,94,"Nyeri growing region, south-central Kenya",Kakalove Cafe,"Chia-Yi, Taiwan",Light,9,9,9,9,62/80,"Richly sweet, deeply chocolaty. Milk chocolate, red currant, freesia-like flowers, cedar, maple syrup in aroma and cup. Crisp, sweetly tart structure with vibrant, juicy acidity; plush, viscous mouthfeel. The quiet finish centers around notes of milk chocolate, freesia and maple syrup.",January 2021,NT $350/8 ounces
908,Thailand Robusta Panid Choosit,90,"Tha Sae, Chumphon, Thailand",Paradise Roasters,"Minneapolis, Minnesota",Medium-Light,8,8,8,9,56/70,"Sweetly nut-toned. Almond, pie cherry, oak, prairie flowers, baking chocolate in aroma and cup. Sweet structure with brisk acidity; velvety-smooth mouthfeel. Gently drying, sweetly nut-toned finish.",January 2021,$16.95/12 ounces
909,Bright House Signature Coffee,93,Columbia; Guatemala; Brazil,Red Bean Coffee,"Taoyuan City, Taiwan",Medium-Light,9,8,9,9,60/78,"Richly sweet, chocolaty. Dark chocolate, pie cherry, orange zest, lily, fresh-cut oak in aroma and cup. Crisply sweet with brisk acidity; full, creamy mouthfeel. The finish consolidates to notes of chocolate-toned tart cherry with undertones of lily.",January 2021,NT $450/460 grams
910,Ethiopia Uraga Dambi Uddo Wet-Fermented,93,"Guji Zone, Oromia Region, southern Ethiopia",Kakalove Cafe,"Chia-Yi, Taiwan",Medium-Light,9,9,8,9,60/76,"Bright, richly floral. Jasmine, cocoa nib, tangerine zest, almond nougat, cedar in aroma and cup. Sweet-tart structure with bright, juicy acidity; full, satiny mouthfeel. The satisfying finish leads with notes of jasmine and tangerine in the short, rounding to almond nougat and cocoa nib in the long.",January 2021,NT $300/8 ounces
911,Guoxing Taiwan Coffee,92,"Sun Moon Lake, Taiwan",Red Bean Coffee,"Taoyuan City, Taiwan",Light,9,8,8,9,62/80,"Deep-toned, richly sweet. Raspberry, brown sugar, lime zest, dark chocolate, baking spices in aroma and cup. Sweet structure with round, lively acidity; crisply smooth, velvety mouthfeel. Baking spices and dark chocolate carry the satisfying finish.",January 2021,NT $1500/230 grams
912,Peru El Corazon Gesha,93,"Chirinos, Cajamarca Region, Peru",Wonderstate Coffee,"Viroqua, Wisconsin",Medium-Light,9,8,9,9,59/77,"Rich, deep, chocolaty. Dark chocolate, hazelnut, plum, maple syrup, cedar in aroma and cup. Sweet structure with brisk acidity; velvety-smooth mouthfeel. Chocolaty finish with undertones of almond and fresh-cut cedar.",January 2021,$20.00/6 ounces
913,Fruity Espresso Blend,95,Panama; Ethiopia; Kenya,NINETYs Roastery,"Hong Kong, China",Medium-Light,9,9							,9,9,56/74,"Evaluated as espresso. Bright, balanced, deep, complex. Tamarind, dark chocolate, jasmine, sandalwood, pink grapefruit zest in aroma and small cup. Viscous, syrupy mouthfeel; long, flavor-saturated finish. Three parts milk levels out the high notes while foregrounding fudge-like chocolate and spicy florals, all with undertones of sandalwood.",January 2021,HKD $118/200 grams
914,Ethiopia Yirgacheffe Cleopatra Natural,94,"Yirgacheffe growing region, southern Ethiopia",Quartet Kaffe,"Taipei, Taiwan",Medium-Light,9,9,9,9,56/76,"Richly sweet-savory, spice- and floral-toned. Dried apricot, tangerine zest, narcissus-like flowers, brown sugar, a hint of thyme in aroma and cup. In structure, sweetly tart and juicy with a savory depth; syrupy-smooth mouthfeel. Spicy florals carry the quietly flavor-saturated finish.",January 2021,NT $600/200 grams
915,Ethiopia Hambela Benti G1 Washed,93,"Guji Zone, Oromia region, southern Ethiopia",Quartet Kaffe,"Taipei, Taiwan",Medium-Light,9,9,8,9,57/74,"High-toned, crisply sweet-tart. Plum, cocoa nib, maple syrup, lilac, cedar in aroma and cup. Sweetly tart structure with bright, juicy acidity; satiny mouthfeel. Resonant, flavor-saturated finish",January 2021,NT $520/200 grams
916,Taiwan Alluring Scent Estate Natural,93,"Alishan, Taiwan",Quartet Kaffe,"Taipei, Taiwan",Medium-Light,9,9,8,9,60/78,"Delicately sweet-tart. Tamarind, almond, lemon verbena, baking chocolate, freesia in aroma and cup. Sweet in structure with bright acidity; light, silky mouthfeel. The flavor-saturated finish is centered around notes of tamarind and almond.",January 2021,NT $900/100 grams
917,Revolution Medium Roast,88,"Central Plateau, Blue Pine Forest, Haiti",Kafe 1804,"San Antonio, Texas",Medium,8,7,8,8,46/60,"Sweetly nut-toned. Roasted hazelnut, cedar, cocoa powder, date, magnolia in aroma and cup. Bittersweet structure with gentle acidity; velvety mouthfeel. The finish consolidates to cocoa-toned hazelnut.",January 2021,$20.00/12 ounces
918,Guatemala Sierra Roja Geisha,93,"San Cristobal Acasaguastlán, El Progreso Department, Guatemala",GK Coffee,"Yilan, Taiwan",Light,9,9,8,9,62/80,"Rich-toned, crisp, sweetly bright. Pink grapefruit zest, lavender, cocoa nib, sandalwood, apricot in aroma and cup. Delicate, juicy-sweet in structure; silky-smooth mouthfeel. The quietly complex finish consolidates to apricot and lavender.",January 2021,"NT $1,000/200 grams"
919,Independence Dark Roast,86,"Central Plateau, Blue Pine Forest, Haiti",Kafe 1804,"San Antonio, Texas",Medium-Dark,7,7,7,8,40/56,"Smoky-sweet, chocolaty. Scorched mesquite, dark chocolate, gardenia, vanilla, roasted almond in aroma and cup. Sweet-toned with brisk acidity; light, delicate mouthfeel. Smoky chocolate notes are supported by scorched mesquite and gardenia in the finish.",January 2021,$21.00/12 ounces
920,Ethiopia Yirgacheffe Dumerso G1 Natural,94,"Yirgacheffe growing region, southern Ethiopia",RamsHead Coffee Roasters,"Bozeman, Montana",Medium-Light,9,9,9,9,57/73,"Sweetly fruit-toned, crisply tart. Raspberry, honeysuckle, almond, lemon zest, caramel in aroma and cup. Sweet-tart structure with juicy acidity; full, syrupy-smooth mouthfeel. The finish consolidates to raspberry and caramel notes.",January 2021,$18.95/12 ounces
921,Guatemala Acetenango Gesha Lot 2,93,"Acatenango, Guatemala",RamsHead Coffee Roasters,"Bozeman, Montana",Medium-Light,9,9,8,9,58/76,"Cocoa-and spice-toned. Cocoa powder, cherry, fir, hazelnut, cinnamon in aroma and cup. Sweet structure with bright acidity; full, satiny mouthfeel. The finish is nutty and cocoa-driven, supported by hints of cherry and fir.",January 2021,$29.95/12 ounces
922,Guatemala Santa Felisa Solar Eclipse Gesha Natural,94,"Acatenango growing region, Guatemala",Euphora Coffee,"Taipei, Taiwan",Light,9,9,9,9,64/80,"Sweet-toned, delicately floral. Raspberry, narcissus, cocoa nib, almond, agave syrup in aroma and cup. Deeply sweet structure with rich, vibrant acidity; full, viscous mouthfeel. The finish leads with notes of raspberry and agave in the short, rounding to cocoa nib in the long.",January 2021,NT $620/4 ounces
923,Guatemala Acatenango,93,"Acatenango, Guatemala",Sunny's Coffee,"Tochigi, Japan",Medium-Light,9,8,9,9,58/76,"Crisply sweet, gently resonant. Freesia, apricot, pistachio, maple syrup, cedar in aroma and cup. Sweetly savory structure with round acidity; full, syrupy mouthfeel. The finish consolidates to notes of apricot and pistachio.",January 2021,"¥ 2,420/200 grams"
924,Kenya Gachatha AB,93,South-central Kenya,Sunny's Coffee,"Tochigi, Japan",Medium-Light,9,9,8,9,59/77,"Sweetly spice-toned. Black currant, tea rose, pink peppercorn, toffee, oak in aroma and cup. Sweet structure with bright, juicy acidity; crisp, velvety mouthfeel. The quiet finish consolidates to notes of black currant and pink peppercorn.",January 2021,"¥ 2,420/200 grams"
925,Coral,94,"Llayla District, Satipo Province, Peru",Finca Tasta,"Llayla District, Satipo Province, Peru",Medium-Light,9,9,9,9,58/78,"Gently fruit-toned, harmonious and balanced. Strawberry, almond nougat, sandalwood, narcissus, lemon verbena in aroma and cup. Sweetly tart with juicy, bright acidity; vibrant, syrupy mouthfeel. Nicely composed finish centered around strawberry and sandalwood notes.",January 2021,$10.00/250 grams
926,Zafiro,92,"Llayla District, Satipo Province, Peru",Finca Tasta,"Llayla District, Satipo Province, Peru",Medium-Light,8,8,9,9,60/78,"Complex, sweet-savory. Tamarind, cocoa nib, marzipan, freesia-like flowers, thyme in aroma and cup. Savory-leaning structure with gentle acidity; very full, syrupy-smooth mouthfeel. A crisp finish leads with notes of freesia and tamarind, supported by cocoa nib and thyme.",January 2021,$10.00/250 grams
927,Colombia La Esperanza Winey Natural,93,"Valle de Cauca, Colombia",Coffee Please,"Taipei, Taiwan",Medium-Light,9,8,9,9,54/72,"Crisply deep-toned; rich, complex. Dark chocolate, cedar, musk, dried apricot, red wine grape in aroma and cup. Sweet in structure with bright acidity. The rich-toned finish consolidates to red wine grape and musk.",January 2021,NT $470/227 grams
928,Costa Rica Cumbres Del Poas Anaerobic,92,"Central Valley, Costa Rica",Coffee Please,"Taipei, Taiwan",Medium-Light,9,8,9,8,59/79,"Richly savory, sweetly herb-toned. Walnut, orange zest, spearmint, freesia-like flowers, brown sugar in aroma and cup. Sweet-savory structure with round, gentle acidity; crisp, satiny mouthfeel. The richly drying, bittersweet finish centers on notes of walnut and brown sugar.",January 2021,NT $360/115 grams
929,Super Instant Coffee,89,"Sidamo, Ethiopia",Yum China,"Shanghai, China",NA,8,8,7,9,0/0,"Sweetly caramelly and briskly cocoa-toned. Dark caramel, baking chocolate, fresh-cut fir, raisin, hints of pear and carnation in aroma and cup. Crisply bittersweet in structure, with backgrounded acidity. Smooth but lean mouthfeel. Dry chocolate and raisin dominate in a sweet but gently bitter-leaning finish.",January 2021,NA
930,Costa Rica Las Lajas Red Honey,93,"Sabanilla de Alajuela, Costa Rica",Durango Coffee Company,"Durango, Colorado",Medium-Light,9,8,9,9,54/70,"Gently sweet-tart, complexly layered. Blueberry jam, jasmine, almond, cedar, caramel in aroma and cup. Fruit-forward structure with gentle acidity; full, syrupy mouthfeel. Finish consolidates to notes of blueberry and caramel with undertones of cedar.",January 2021,$15.95/12 ounces
931,Papua New Guinea Kenta,92,"Western Highlands Province, Papua New Guinea",Revel Coffee,"Billings, Montana",Medium-Light,8,8,9,9,58/78,"Richly sweet, caramel-toned. Caramel, grapefruit zest, magnolia, oak, a hint of thyme in aroma and cup. Sweet-toned structure with gentle acidity; very full, syrupy mouthfeel. Caramelly finish with undertones of grapefruit zest and oak.",January 2021,$17.75/12 ounces
932,Ethiopia Guji Goro Muda Washed G1,95,"Guji Zone, southern Ethiopia",94 Fresh Coffee,"Kaohsiung City, Taiwan",Light,9,9,9,9,64/82,"High-toned, floral. Star jasmine, apricot, lemon verbena, maple syrup, marjoram in aroma and cup. Crisply sweet with vibrant, delicate acidity; silky-smooth mouthfeel. Flavor-saturated short finish with notes of star jasmine and lemon verbena, supported by a hint of marjoram, extending into the long.",January 2021,NT $450/8 ounces
933,Ethiopian Guji Ana Sora Alcoholic Natural G1,94,"Guji Zone, southern Ethiopia",Normandy Coffee Thai Cuisine,"Kaohsiung City, Taiwan",Medium-Light,9,9,9,9,60/80,"Winy and fruit-toned. Wine barrel, cherry pie, sandalwood, agave syrup, gardenia in aroma and cup. Sweetly tart with citrusy acidity; plush, syrupy mouthfeel. The finish is crisp, tannic, and fruity-floral.",January 2021,NT $300/8 ounces
934,Rum Barrel Aged Kauai Coffee,92,"Kalaheo, Kauai, Hawaii",Kauai Coffee Company,"Kalaheo, Kauai, Hawaii",Medium,9,8,8,9,50/70,"Deep-toned, sweetly fermenty. Oak barrel, chocolate fudge, raspberry, freesia-like flowers, a hint of rum in aroma and cup. Sweet structure with gentle, round acidity; satiny-smooth mouthfeel. Chocolaty, oak-toned finish with rum undertones.",December 2020,$50.00/10 ounces
935,Panama Hacienda La Esmeralda Gesha,96,"Boquete growing region, western Panama",Big Shoulders Coffee,"Chicago, Illinois",Medium-Light,9,9,9,10,58/78,"Complex, floral- and citrus-toned. Lilac, cocoa nib, tangerine zest, apricot, sandalwood in aroma and cup. Delicately sweet-tart with juicy acidity; very full, syrupy mouthfeel. The deeply flavor-saturated finish resonates on and on.",December 2020,$56.00/8 ounces
936,Ethiopia Cup of Excellence Guji Natural,95,"West Guji Zone, Hambela Wamena Woreda, Ethiopia",Paradise Roasters,"Minneapolis, Minnesota",Light,9,9,9,9,68/90,"Complex, bright, citrusy. Meyer lemon zest, cocoa nib, dried hibiscus flowers, marjoram, red plum in aroma and cup. Sweetly tart with crisp but juicy acidity; lightly viscous, satiny mouthfeel. Layered finish with citrus and cocoa at the center.",December 2020,$19.95/4 ounces
937,Ethiopia Sidama Telamo FTO Natural,95,"Sidamo (also Sidama) growing region, south-central Ethiopia",Souvenir Coffee,"Berkeley, California",Medium-Light,9,9,9,9,58/76,"Delicate, high-toned, elegantly fruit-driven. Wild strawberry, tangerine zest, cocoa nib, sandalwood, thyme in aroma and cup. Bright, sweetly tart structure with juicy acidity; silky-smooth, lilting mouthfeel. The resonant finish is saturated with flavor notes from aroma and cup in harmonious balance.",December 2020,$23.00/12 ounces
938,Ethiopia Guji Laayyoo Natural,94,"Guji Zone, southern Ethiopia",Paradise Roasters,"Minneapolis, Minnesota",Light,9,9,9,9,64/82,"Richly sweet-tart, brightly fruit-forward. Pomegranate, cocoa nib, butterscotch, hazelnut, passionflower in aroma in cup. Sweet-savory in structure with citrusy acidity; crisply smooth mouthfeel. Quiet, cocoa-toned finish with sweet hazelnut undertones.",December 2020,$24.95/12 ounces
939,Peru Wilmer Alarcon Mirez,93,"Cajamarca, Peru",Big Shoulders Coffee,"Chicago, Illinois",Medium-Light,9,8,9,9,56/72,"Richly aromatic, chocolaty. Dark chocolate, Bing cherry, pink grapefruit zest, lily, fresh-cut oak in aroma and cup. Crisply sweet with brisk acidity; plush, creamy mouthfeel. The finish consolidates to chocolate-covered cherry with lily undertones.",December 2020,$22.00/12 ounces
940,Hawai’i Ka’u Champagne Natural,93,"Ka’u growing region, Big Island of Hawai’i",Paradise Roasters,"Minneapolis, Minnesota",Medium-Light,9,9,8,9,60/78,"Deeply sweet, tropical. Pineapple, lychee, baking chocolate, jasmine, lemon verbena in aroma and cup. Sweetly tart with very lively, phosphoric acidity; silky-smooth mouthfeel. The finish is fruit-driven with jasmine undertones.",December 2020,$19.95/4 ounces
941,Guatemala Bella Carmona,93,"Antigua growing region, Guatemala",Big Shoulders Coffee,"Chicago, Illinois",Medium-Light,9,9,8,9,59/77,"Chocolaty, floral-toned. Baking chocolate, honeysuckle, date, almond butter, cedar in aroma and cup. Sweet structure with bright acidity; satiny-smooth mouthfeel. Baking chocolate and honeysuckle, supported by cedar, carry the finish.",December 2020,$18.00/12 ounces
942,Thailand Omkoi Sopa’s Estate,93,"Omkoi District, Chiang Mai Province, Thailand",Paradise Roasters,"Minneapolis, Minnesota",Light,9,9,8,9,64/82,"Delicate, complex, multi-layered. Wild honey, bergamot, freesia-like flowers, thyme, green apple in aroma and cup. Sweetly tart with citrusy-bright acidity; delicate, silky mouthfeel. Gentle tea-like finish with notes of bergamot and wild honey.",December 2020,$29.95/12 ounces
943,Espresso Blend,93,Brazil; East Timor,Souvenir Coffee,"Berkeley, California",Medium,9,8							,9,8,51/69,"Evaluated as espresso. Crisply sweet, chocolaty and nut-toned. Baking chocolate, raisin, hazelnut, fresh-cut fir, molasses in aroma and small cup. Crisp, velvety mouthfeel; richly drying, wood-framed finish. Nutella-like in three parts milk.",December 2020,$17.00/12 ounces
944,Burundi Buhorwa,93,"Kayanza Province, Burundi",Big Shoulders Coffee,"Chicago, Illinois",Light,9,8,9,9,63/81,"Balanced, richly sweet-tart. Lychee, orange zest, amber oil, cocoa nib, narcissus-like flowers in aroma and cup. Sweet-toned structure with poised acidity; syrupy-smooth mouthfeel. The floral-toned finish centers around amber and orange zest suggestions.",December 2020,$22.00/12 ounces
945,Jose Cienfuegos Mexico,92,"Veracruz, Mexico",JBC Coffee Roasters,"Madison, Wisconsin",Medium-Light,9,8,8,9,58/76,"Cocoa-toned, gently tart. Pomegranate, cocoa powder, almond, narcissus, molasses in aroma and cup. Sweet-tart structure with brisk acidity; satiny mouthfeel. The finish consolidates to notes of cocoa powder and molasses.",December 2020,$16.00/12 ounces
946,Cual Bicicleta,93,"Marcala, Honduras",Merge Coffee Company,"Harrisonburg, Virginia",Medium-Light,9,8,9,9,56/76,"Citrusy, spice-toned. Dried orange zest, baking spices, golden raisin, hazelnut, fresh-cut oak in aroma and cup. Sweet-toned structure with brisk acidity; plush, syrupy mouthfeel. The crisp finish is redolent with dried orange zest and baking spices.",December 2020,$17.99/12 ounces
947,Pena Blanca Black Honey,93,"Los Planes, Comayagua, Honduras",Merge Coffee Company,"Harrisonburg, Virginia",Medium-Light,9,9,8,9,60/78,"Crisply sweet-tart, floral-toned. Narcissus, plum, baking chocolate, almond, brown sugar in aroma and cup. Sweetly tart structure with vibrant acidity; satiny-smooth mouthfeel. The quiet finish centers around suggestions of brown sugar and almond.",December 2020,$17.99/12 ounces
948,La Joya,93,"San Jose, La Paz, Honduras",Merge Coffee Company,"Harrisonburg, Virginia",Medium-Light,9,8,9,9,58/74,"Delicate, cleanly fruit-toned. Raspberry, cocoa nib, vanilla bean, magnolia, cedar in aroma and cup. Richly sweet with balanced acidity; lightly syrupy mouthfeel. The finish consolidates to cocoa nib and vanilla bean with undertones of raspberry.",December 2020,$17.99/12 ounces
949,Magic Cat Kenya Civet AFCA TOH NO.2 Gatuya Factory New Murarandia AA,94,"Murang'a County, central Kenya","Good Chance Biotechnology, Ltd.","Taichung City, Taiwan",Medium-Light,9,9,9,9,56/78,"Sweetly savory, rich and deep. Dark chocolate, violet, pomegranate, maple syrup, cedar in aroma and cup. Crisply bright with juicy acidity; very syrupy mouthfeel. Notes of violet and pomegranate, with undertones of cedar, resonate in the finish.",December 2020,USD $206.00/8 ounces
950,Magic Cat Civet Ethiopia Sidamo Shantwene Litchi Rose Washed,93,"Sidamo growing region, south-central Ethiopia","Good Chance Biotechnology, Ltd.","Taichung City, Taiwan",Medium-Light,9,8,9,9,56/78,"Sweetly tart, vibrant. Dried apricot, caramel, magnolia, thyme, oak in aroma and cup. Sweet-tart structure with brisk acidity; plush, viscous mouthfeel. The quiet finish leads with notes of caramel-toned apricot and fresh-cut oak.",December 2020,USD $206.00/8 ounces
