coffee,origin,flavour,region,variety,process,roast,roaster,roaster_name
Static Adado Shara, southern Ethiopia,"Delicate, sweetly musk-toned. Singed sandalwood, dried lemon zest, malty chocolate, almond, gardenia in aroma and cup. Spice-toned in structure, crisply perfumy; buoyant, lean mouthfeel. The gently drying finish centers on citrus and chocolate in the short modulating to bittersweet aromatic wood in the long.","Yirgacheffe growing region,",,others,medium,Espresso Republic,
Static San Augustin Guatemala, Guatemala,"Deeply rich, sweetly smoky. Ripe banana, black peppercorn, singed clove, pipe tobacco, gardenia-like flowers in aroma and cup. The structure is dominated by a smoke-toned sweetness with spice undertones. Velvety smooth mouthfeel. Fruit tones carry the short finish, while gently drying pipe tobacco and clove re-emerge in the long.","Antigua Valley,",,others,medium,Espresso Republic,
Static Peaberry Cerrado Brazil, Brazil,"Delicately earth-toned, floral. Toffee, violet, fresh-cut cedar, lime zest, a hint of apricot in aroma and cup. Round, sweetly savory structure; satiny-smooth mouthfeel. The short finish is resonant with notes of bittersweet aromatic wood and florals.","Cerrado growing region, Minas Gerais State,",,others,medium,Espresso Republic,
Static Ravens Dark Roast Mexico, Mexico,"Richly aromatic, wood-framed, bittersweet. Rhododendron, fresh mulch, dried apricot, saltwater taffy, molasses in aroma and cup. Bitter-leaning in structure; lean, silky mouthfeel. The finish is gently drying, with sweet mulch notes and vanilla-like florals.","Chiapas State,",,others,medium,Espresso Republic,
Shine Day El Salvador,El Salvador,"Deeply aromatic, floral-toned, sweetly and brightly tart. Star jasmine, dried apricot, myrrh, wild raspberry, maple syrup in aroma and cup. Lively, richly sweet-savory in structure; buoyant, silky-smooth mouthfeel. The finish is resonant and flavor-saturated, leading with fruit and floral notes in the short and closing out in the very long with rich tones of myrrh.",,,others,light,"Seeker Co, Ltd.",
Kenya Kirinyaga Baragwi Guama AB, south-central Kenya,"Delicately bright, deeply sweet. Red currant, roasted macadamia, myrrh, honey, dried hibiscus in aroma and cup. Balanced, high-toned, sweetly tart in structure; silky, buoyant mouthfeel. The finish is long, flavor-laden and confident, leading with notes of red fruit and tart florals in the short, followed by suggestions of honey-toned nut (think creamy macadamia) and elegantly musky myrrh.","Kirinyaga District,",,others,medium,Kakalove Cafe,
Guatemala Finca El General Espresso, central Guatemala,"Evaluated as espresso. Fruit-toned, sweetly tart. Raspberry jam, almond, dark chocolate, narcissus, sandalwood in aroma and small cup. Plush, syrupy mouthfeel. The crisp, chocolate-toned finish is complicated by complex, jammy notes of raspberry in the short, consolidating to dark chocolate and sandalwood in the long. In three parts milk, fruit and chocolate deepen and round.","Acatenango growing region,",,others,medium,Kakalove Cafe,
Ethiopia Natural Yirgacheffe Adado, southern Ethiopia,"Complexly layered, richly sweet. Ripe blueberry, sweet wood, grapefruit zest, dark chocolate, ginger flower in aroma and cup. Sweet, fruit-forward structure complicated by spicy floral notes; full, syrupy mouthfeel. The crisp, bittersweet finish centers on tart fruit and florals deepened by chocolate.","Yirgacheffe growing region,",,others,light,Kakalove Cafe,
Kenya AA Nyeri, south-central Kenya,"Crisply sweet/savory; delicate yet resonant. Raspberry, cranberry, fresh-cut redwood, alyssum-like flowers in aroma and cup. Sweetly and lightly tart in structure with a savory edge; light but impressively plump and satiny in mouthfeel. Flavor consolidates around raspberry and alyssum in a sweet, gently drying finish.","Nyeri growing region,",,others,medium,Lone Oak Coffee Company,
Uganda Fair Trade Bukonzo, western Uganda,"Zesty but deeply and resonantly nut-toned. Roasted cashew, oak, apricot, orange zest, magnolia-like flowers in aroma and cup. Zesty yet sweet, almost sugary, in structure, with a savory hint. Plush, lightly syrupy mouthfeel. Fruit notes in particular persist in a round, resonant, quietly flavor-saturated finish.","Rwenzori Mountains,",,others,medium,Conscious Cup Coffee Roasters,
Ethiopia Limmu Organic Kebena Kossa, southern Ethiopia,"Sweetly tart, fruit-toned. Dried strawberry, sandalwood, grappa, roasted cacao nib, spearmint in aroma and cup. Crisp, round and sweet-tart in structure with deep fruit tones at the center; lively, silky mouthfeel. The richly drying short finish is flavor-saturated, carrying over all the notes from the cup, with suggestions of grappa and sandalwood lingering into the long.","LImmu Woreda, Oromia Zone,",,others,medium,Jebena Coffees,
Honduras Finca Jerusalen, Honduras,"Sweetly zesty, quiet but resonant. Pineapple guava, sweet, aromatic starch (taro?), nougat, hints of lemon zest and honeysuckle in aroma and cup. Tart in structure, with rounding sweetness and a distinct savory edge. Flavor consolidates around guava and nougat in a simple but rich finish.","Marcala growing region, La Paz Department,",,others,medium,Branch Street Coffee Roasters,
Ethiopia Shakisso, southern Ethiopia,"Sweet-toned and delicately tart. Blood orange, fresh-cut cedar, almond, honeysuckle, marjoram in aroma and cup. Tart and lightly zesty in structure; lightly plush in mouthfeel. Crisp and sweet in the finish with a richly drying edge; flavor notes consolidate but linger.","Guji Zone,",,others,medium,Topeca Coffee Roasters,
Colombia Finca Campoalegre, southern Colombia,"Brightly sweet-savory, richly layered. Narcissus, roasted cacao nib, dried apricot, sandalwood, maple syrup in aroma and cup. Juicy, lively acidity; deeply sweet structure with savory undertones. Plush, syrupy mouthfeel. The long, resonant finish consolidates to attractive floral and cocoa tones.","Pitalito, Huila Department,",,others,medium,Durango Coffee Company,
Kenya Boma AA, central Kenya,Sweetly delicate yet deeply pungent,"Baringo and Nakura Counties,",,others,medium,Topeca Coffee Roasters,
Ethiopia Guji Zone Natural, southern Ethiopia,"Delicate, richly spice- and fruit-toned. Ripe mango, fine musk, fruit-toned chocolate, lemon blossom in aroma and cup. A sweet fruit ferment expresses itself as a clean, cocoa-toned Cognac. Vibrant, expressive acidity; delicate, satiny-smooth mouthfeel. The finish moves from lush floral notes to a continuing suggestion of crisp Cognac.","Guji Zone,",,others,light,Coffee Dusk Roasters,
Kenya Boma Peaberry, central Kenya,"Crisply sweet, gently spicy. Honey, bergamot, white sage, musk, fragrant lavender in aroma and cup. In structure richly tart with a rounding, enveloping sweetness. Full, buoyantly syrupy mouthfeel. A lemony sweetness dominates in a resonant finish.","Baringo and Nakura Counties,",,others,medium,Topeca Coffee Roasters,
Gesha Village Auction Lot 26 Gori Gesha Natural, Southern Ethiopia,"Crisply lush, intricately layered. Ripe passion fruit, roasted cacao nib, myrrh, candied walnut, a hint of grappa in aroma and cup. In structure, a vivacious tartness is enveloped in sweetness. Mouthfeel is full and syrupy. Flowers and the grappa-like hint in particular carry into a deep, balanced finish.","Bench-Maji Zone,",,others,medium,Hatch Coffee,
Gesha Village Lot 76 Nasha Block, Southern Ethiopia,"Absorbingly intricate yet quietly complete. Honey, strawberry guava, lavender, roasted almond, a hint of light, floral-toned spirits in aroma and cup. Very sweet in structure but delicately crisp and savory-edged. Light but silky and buoyant in mouthfeel. Lavender in particular carries into a balanced, deeply layered finish.","Bench-Maji Zone,",,others,light,Ho Soo Tsai,
Gesha Village Natural Oma Block Lot 72, Southern Ethiopia,"High-toned, zesty, lushly floral. Deep, honeyish floral notes (lavender, tea-rose), brightly juicy guava, candied lemon, sandalwood in aroma and cup. Richly and sweetly tart in structure; plushly syrupy in mouthfeel. The finish backs off just a bit from the spectacular cup but the flowers and tart fruit in particular ring on.","Bench-Maji Zone,",,others,medium,Kakalove Cafe,
"Gesha Village 1931, Lot 86", Southern Ethiopia,"Sweetly bright, intensely aromatic, smoothly high-toned. In aroma and cup, crisp cocoa notes are enveloped in flowers and fruit","Bench-Maji Zone,",,others,medium,Mudhouse Coffee Roasters,
Esmeralda Special Auction Washed Geisha, western Panama,"Delicately rich, deeply sweet, lushly intricate. Complex flowers (rose, lavender) apple, tangerine zest, roasted almond, baker’s chocolate in aroma and cup. Deeply sweet in structure, with a pleasantly brisk, bitterish complication. Crisply smooth, satiny mouthfeel. Apple, almond, lavender in particular carry into a very sweet finish.","Boquete growing region,",,others,medium,Dragonfly Coffee Roasters,
Panama Geisha, western Panama,"Roast-encapsulated complexity; sweetly and exhilaratingly pungent. 
Richly scorched cedar, rose-like flowers, orange zest, black sage, a hint of cocoa-ish chocolate in aroma and cup. Bittersweet but zesty in structure; light though plush mouthfeel. Flowers and cocoa in particular carry into a roasty but cleanly sweet-toned finish.","Boquete growing region,",,others,medium,San Francisco Bay Coffee,
Guatemala Acatenango Gesha, central Guatemala,"Cleanly and sweetly bright; pure; elegant. Lime zest, baker’s chocolate, ripe pear, floral-toned vanilla, myrrh in aroma and cup. Deeply and sweetly tart in structure; delicately satiny in mouthfeel. Baker’s chocolate and vanilla-toned flowers carry into a sweet, quiet finish.","Acatenango growing region,",,others,medium,Ironclad Coffee Roasters,
Gesha Village Ethiopia Lot #18 Illubabor Washed, Southern Ethiopia,"Crisply sweet; resonant, distinctive. Baker’s chocolate, raspberry, tea rose, almond, musk in aroma and cup. Sweet, almost sugary in structure, with a dry, tart/savory counterpoint. Full, plump mouthfeel. A musky chocolate and raspberry edge carries into a sweetly and roundly drying finish.","Bench-Maji Zone,",,others,medium,GK Coffee,
Guatemala El Injerto Legendary Gesha, Guatemala,"Subtle; balanced; classic. Roasted cashew, sweet apple, clover flowers, brown sugar, fresh-cut cedar in aroma and cup. Softly and sweetly tart in structure; plush and velvety in mouthfeel. Apple, brown sugar, cashew and clover all carry into a quietly complete finish.","Huehuetenango Department,",,others,medium,Willoughby's Coffee & Tea,
Carmen Geisha El Palomar Best of Panama #4 Carlos Aguilera, western Panama,"Rich, lavish, elegantly sweet-tart and complexly layered. In aroma and cup, intricately expressed citrus (sweet lime, grapefruit, blood orange); spice (coriander, mace); lilac-like flowers; almond; cocoa. Grand but balanced in structure; plump and delicately syrupy in mouthfeel. Everything rounds and deepens in a flavor-saturated finish.","Boquete growing region,",,others,medium,Dragonfly Coffee Roasters,
Kilenso Ethiopia Natural, southern Ethiopia,"Deep, layered, intricate, very sweet. Raspberry, roasted cacao nib, mango, complex flowers (jasmine, lavender, rose), myrrh, a hint of spirits—Brazilian cachaça perhaps. Richly sweet/tart in structure; full, syrupy mouthfeel. Flavor consolidates in a long, bittersweet finish.","Sidama (also Sidamo) growing region,",,others,medium,Coava Coffee Roasters,
Brazil Paulo Ribeiro Rocha, Brazil,"Delicate, richly sweet. Caramel, cherry, roasted cacao nib, narcissus, a hint of cumin in aroma and cup. Mild, rounded acidity; crisp, satiny mouthfeel. The short but resonant finish consolidates to cocoa and spice tones.","Mantiqeiras de Minas growing region, Minas Gerais State,",,others,medium,Revel Coffee,
Colombia Daniel Ortega, southern Colombia,"Subtly complex, richly spice-toned. Brown sugar, apple blossom, date, allspice, fresh pipe tobacco in aroma and cup. Bright, vibrant, balanced in structure; crisp, velvety-smooth mouthfeel. The flavor-saturated finish leads with sweet floral and fruit tones in the short modulating to tobacco and spice in the long.","Huila Department,",,others,medium,Branch Street Coffee Roasters,
Ethiopia Yirgacheffe Washed Adado Gr 1, southern Ethiopia,"Delicately vibrant, crisply sweet-tart. Peach, roasted cacao nib, maple syrup, rhododendron, orange zest in aroma and cup. Balanced, sweetly tart in structure; lightly syrupy mouthfeel. The richly drying, zesty finish consolidates to notes of cocoa-toned stone fruit.","Yirgacheffe growing region,",,others,medium,Branch Street Coffee Roasters,
Bella Carmona Guatemala, central Guatemala,"Deeply sweet/savory yet delicate and vibrant. Grapefruit zest, brown sugar, hazelnut, rhododendron-like flowers, a hint of musk in aroma and cup. Roundly and resonantly brisk in structure; plump and full in mouthfeel. Nut, brown sugar and grapefruit carry into a quiet, balanced finish.","Antigua growing region,",,others,medium,JBC Coffee Roasters,
Costa Rica La Cereza Roja Semi-Washed, Costa Rica,"Deeply sweet, fruit-toned. Ripe strawberry, cashew, fine musk, cocoa powder, fir in aroma and cup. Gentle, fruit-forward acidity; satiny mouthfeel. The gently drying finish is characterized by aromatic wood notes, sweetly fermenty berry tones, and suggestions of cocoa powder.","Tarrazu growing region,",,others,medium,Ithaca Coffee Company,
Karuthi Espresso, south-central Kenya,"Evaluated as espresso. High-toned, floral-savory. Wisteria, nut-toned chocolate, maraschino cherry, fresh-cut cedar, grapefruit zest in aroma and small cup. Lush, syrupy body. The sweetly crisp, tart finish is assertive and maintains all of the notes from the cup. In three parts milk, wisteria notes are elevated, supported by nut-toned chocolate suggestions.","Nyeri growing region,",,others,medium,JBC Coffee Roasters,
Chelelektu Espresso, southern Ethiopia,"Evaluated as espresso. Delicate, richly layered. Jasmine, passionfruit, roasted cacao nib, sandalwood, lemon zest in aroma and small cup. Crisp, very silky mouthfeel. The finish consolidates to citrus notes grounded in rich aromatic wood. In three parts milk, all of the sweet notes bloom further, with spice-toned florals leading the way.","Yirgacheffe growing region,",,others,medium,JBC Coffee Roasters,
Chelelektu Ethiopia, southern Ethiopia,"Elegant, sweetly pungent. Lilac, toffee, cedar, black cherry, grapefruit zest in aroma and cup. Crisply sweet acidity; viscous, syrupy mouthfeel. The resonant finish is flavor-saturated in the short, consolidating to notes of cedar and toffee in the long.","Yirgacheffe growing region,",,others,medium,JBC Coffee Roasters,
Karuthi Kenya, south-central Kenya,"Subtly complex, delicately sweet-savory. Honey, baker’s chocolate, black currant, sandalwood, wisteria in aroma and cup. Juicy, buoyant acidity; plush, syrupy mouthfeel. The sweetly tart finish is vibrant with notes of chocolate and black currant in the short; suggestions of wisteria resurface in the long.","Nyeri growing region,",,others,medium,JBC Coffee Roasters,
Finca El Obraje Colombia Gesha, southern Colombia,"Round, crisp but simultaneously deep, complexly layered. Lemon zest, baker’s chocolate, plumeria, incense-like myrrh note in aroma and cup. Balanced in structure","Narino Department,",,others,medium,Amavida Coffee Roasters,
Kenya AA Top Nyeri Tekangu Tegu Microlot, south-central Kenya,"Delicately intricate; deeply sweet and pungent. Lavender, black currant, gently scorched cedar, grapefruit zest, baker’s chocolate in aroma and cup. The structure is dominated by a richly round tartness, with a backgrounded roasty, bittersweet edge. Full, plush mouthfeel. A floral vanilla note surfaces in a resonant roast-toned finish.","Nyeri growing region,",,others,medium,Another Beans Coffee Roasters,
Peru Cajamarca Organic, Peru,"Quiet, complete; complexly chocolate- and fruit-toned. Dark chocolate, ripe black cherry, coconut, cashew, complex flowers (lavender, honeysuckle) in aroma and cup. The structure is sweetly juicy with a slight, deepening bitter edge. Light but satiny, lively mouthfeel. Drying though sweet finish, saturated with chocolate and flowers.","Cajamarca growing region,",,others,medium,Black Coffee Roasting,
Ethiopia Organic Dark,Southern Ethiopia,"Richly pungent, resonantly roast-toned. Musk, orange zest, baker’s chocolate, scorched mesquite, floral top notes in aroma carry into the cup, where the chocolate moves forward. In structure sweetly and vibrantly roast-toned, balanced, resonant. Light, satiny mouthfeel. Chocolate and flowers dominate in the short finish; the long turns slightly scorch and dry, though flavor persists.",,,others,dark,Mellelo Coffee Roasters,
Chimney Rock Blend,Mexico; Brazil,"Roasty-sweet, lightly chocolate- and nut-toned. Dark chocolate, walnut, peach, freesia-like flowers, lightly scorched fir in aroma and cup. In structure roundly sweet-toned with a hint of savory. Lightly syrupy, buoyant mouthfeel. Fruit and flowers carry lightly into a sweet-toned finish.",,,others,medium,Cimarron Coffee Roasters,
Sumatra Tanah Karo, Indonesia,"Sweet/savory, chocolaty. Spicy chocolate, plum, rosemary, lightly scorched pine, lantana-like flowers in aroma and cup. Distinctly sweet/savory in structure; plushly syrupy in mouthfeel. Dries and simplifies a bit in the finish, though sweet hints of chocolate and fruit persist.","Northern Sumatra,",,others,medium,Oceana Coffee,
Mocha Java Blend Fair Trade Organic, Indonesia,"Wood-framed, spice- and flower-toned. Brazil nut, wisteria, pink peppercorn, dark chocolate, lightly scorched fir in aroma and cup. In structure sweet, with a salty/savory edge. Lightly syrupy mouthfeel. Pleasantly drying in the finish, with a rich aromatic wood supporting nutty chocolate and floral suggestions.","Ethiopia; Sumatra,",,others,medium,Equator Coffees & Teas,
Dreamlands Blend,not disclosed,Sweetly roast-toned,,,others,medium,Magnolia Coffee,
Sumatra Narata Nauli, Indonesia,"Roast-toned; musky and earthy. Raisin, moist pipe tobacco, musk, vanilla-toned flowers, scorched cedar in aroma and cup. Delicately and sweetly pungent in structure. Mouthfeel is light but distinctly silky. Roasty and flavor-saturated in the short finish; dries a bit in the long.","Lintong growing region, northern Sumatra,",,others,medium,Kustomcoffee,
Washed Ethiopia Yirgacheffe Banko Gotiti, south-central Ethiopia,"Subtly intricate, deeply sweet. Star jasmine, roasted cacao nib, dried mango, myrrh, fresh spearmint in aroma and cup. Bright, juicy acidity; plush, velvety mouthfeel. The resonant, flavor-saturated finish leads with notes of star jasmine and dried mango, balanced by suggestions of crisp cocoa tones throughout.","Kochere, Yirgacheffe growing region,",,others,medium,Green Stone Coffee,
Sumatra Danau Toba, Indonesia,"Deeply and richly sweet, wood-framed. Geranium, cedar, chocolate fudge, ripe banana, perique (fermented) pipe tobacco in aroma and cup. Gentle, crisp acidity; viscous, satiny mouthfeel. The long, resonant finish is centered around notes of deep chocolate and pipe tobacco, lifted by suggestions of ripe tropical fruit.","Lintong growing region, North Sumatra Province, Sumatra,",,others,medium,Paradise Roasters,
Kapsakiso Kenya, western Kenya,"Deeply rich, crisply sweet-savory. Graham cracker, violet, black currant, blood-orange zest, raw chocolate in aroma and cup. Zesty, well-integrated acidity; syrupy-smooth mouthfeel. The quietly elegant finish leads with soft florals in the short that build and deepen to black currant and chocolate in the long.","Bungoma region,",,others,light,Lexington Coffee Roasters,
Ethiopia Oromia, southern Ethiopia,"Richly sweet, fruit-toned. Dried blueberry, lemongrass, brandy reduction, scorched elm, lantana-like flowers in aroma and cup. Gentle, round acidity; full, syrupy mouthfeel. The finish is carried by notes of dried blueberry in the short and lemongrass and smoky aromatic wood notes in the long.","Shakiso growing district, Guji Zone, Oromia Region,",,others,medium,Caffe Luxxe,
Congo Natural, Democratic Republic of the Congo,"Sweetly spice-toned. Grapefruit zest, almond paste, baked pear, cardamom, faint azalea-like flowers in aroma and cup. Fruit-toned, bittersweet acidity; full, creamy mouthfeel. The finish consolidates to nut-toned cardamom with hints of flowers.","Kalehe, South Kivu Province,",,others,medium,Paradise Roasters,
Ethiopia Washed Kayon Mountain, southern Ethiopia,"Floral-toned, chocolaty. Fine musk, strawberry guava, dark chocolate, honey, oak in aroma and cup. Juicy, savory-tart acidity; syrupy-smooth mouthfeel. All the notes from the cup carry into a finish both flavor-laden and long.","Odo Shakiso District, Guji Zone,",,others,medium,Kakalove Cafe,
Ethiopia Yirgacheffe, southern Ethiopia,"Delicate, richly sweet. Peach, hazelnut, pink peppercorn, cedar, a hint of thyme in aroma and cup. Crisply sweet acidity; satiny mouthfeel. The richly drying finish leads with notes of peach and pink peppercorn in the short, consolidating to hazelnut in the long, with a continued hint of thyme.","Yirgacheffe growing region,",,others,medium,Conscious Cup Coffee Roasters,
Static Ethiopia Konga Washed, southern Ethiopia,"Sweetly roast-toned. Dark chocolate, cinnamon, gently scorched cedar, roasted cashew, dried apricot in aroma and cup. Round, backgrounded acidity; impressively plump, velvety mouthfeel. The cocoa-toned finish is gently drying, with a spice-driven aromatic wood throughline.","Yirgacheffe growing region,",,others,medium,Espresso Republic,
Ninety Plus Gesha Estates Limited Batch #227, far western Panama,"Delicate yet deeply aromatic, gloriously and almost impossibly complex in its fruit and floral expression. Fruit ranges from grapefruit through lychee to passionfruit; flowers suggest lavender, rose, more. There is chocolate and a grapy Cognac reduction, and finally a savory resonance we called sweet mushroom. Juicy, floral-tart acidity; viscous, syrupy mouthfeel. The finish is laden with complex floral top-notes in the short, rounding to hints of sweet fruit and deep Cognac-toned chocolate in the long.","Chiriqui Province,",,others,light,JBC Coffee Roasters,
Our Blend Espresso,not disclosed,"Evaluated as espresso. Richly sweet, floral-toned. Wisteria, ginger, cedar, baker’s chocolate, blackberry in aroma and small cup. Velvety-smooth body; the finish is cocoa-toned with notes of gently scorched cedar that contribute a smoky nuance, especially in the long finish. In cappucino-scaled milk, chocolate notes deepen, florals open further, and berry notes recede.",,,others,medium,Huzaza Cafe,
Adado Shara Ethiopia Washed, southern Ethiopia,"Balanced, crisply sweet. Caramel, lemon zest, white peach, cedar, freesia-like flowers in aroma and cup. Gentle, backgrounded acidity; delicate, crisp mouthfeel. The finish leads with stone fruit and spicy floral notes in the short segueing to rich cedar in the long.","Yirgacheffe growing region,",,others,medium,Lexington Coffee Roasters,
Tano Batak Sumatra, Indonesia,"Richly sweet, intricately layered. Lychee, chocolate fudge, bay leaf, pipe tobacco, aromatic orchid, a hint of fresh-turned earth in aroma and cup. Juicy, sweet-tart acidity; plush, syrupy mouthfeel. Notes of cocoa and sweet pipe tobacco resonate in the crisp, dry finish.","Lintong growing region, North Sumatra Province, Sumatra,",,others,medium,JBC Coffee Roasters,
Makwa Kenya AB, south-central Kenya,"Richly pungent, sweet-savory. Coconut, violet, baker’s chocolate, musky hops, oak in aroma and cup. Vibrant, sweet acidity; delicate, velvety-smooth mouthfeel. The sweet-toned finish consolidates to floral and chocolate notes enveloped in a savory edge that suggests hops.","Nyeri growing region,",,others,light,Big Shoulders Coffee,
Calle San Juan Costa Rica Honey, Costa Rica,"Deeply rich, sweetly spice-toned. Pineapple, roasted cocoa nib, lavender, maple syrup, hazelnut butter in aroma and cup. Juicy, citrus-toned acidity; smooth, creamy mouthfeel. The resonant finish consolidates to lavender and cocoa notes in the short, with suggestions of hazelnut returning in the long.","Sabanilla de Alajuela growing region,",,others,medium,Lexington Coffee Roasters,
Ethiopia Kayon Mountain Natural, southern Ethiopia,"Delicate, subtle, deeply sweet. Honeysuckle, vanilla, cinnamon, dried apricot, sandalwood in aroma and cup. Crisply tart acidity; satiny mouthfeel. The richly drying finish consolidates to dried fruit notes in the short and suggestions of aromatic wood in the long.","Odo Shakiso District, Guji Zone,",,others,medium,Lexington Coffee Roasters,
Honey-Processed Coffee,Taiwan,"Sweetly spice-toned, wood-framed. Fresh-cut fir, gardenia, peanut brittle, pink grapefruit, watermelon in aroma and cup. Gentle, fruit-toned acidity; lean, satiny mouthfeel. The gently drying finish leads with notes of watermelon and pink grapefruit, while suggestions of peanut brittle and fir carry the long.",,,others,light,Jacob's Estate Musicaffe Workshop,
Finca El Guamo Colombia, central Colombia,"Deeply and richly sweet; floral-toned. Lilac, roasted cacao nib, cardamom, myrrh, mango in aroma and cup. Bright, juicy acidity; delicate, silky mouthfeel. The crisp, richly drying finish leads with notes of lilac in the short, consolidating to cacao nib and apricot in the long.","Gaitania, Tolima Department,",,others,medium,Topeca Coffee Roasters,
Congo Lake Kivu Kavisa Bourbon, Democratic Republic of the Congo,"Crisply sweet, spice-toned. Red currant, black peppercorn, magnolia, dark chocolate, grapefruit zest in aroma and cup. Round, gentle acidity; plush, syrupy mouthfeel. The resonant finish consolidates to cocoa-toned florals and spice notes redolent of black peppercorn.","Kalehe, South Kivu Province,",,others,medium,Kakalove Cafe,
Ethiopia Natural Guji Kayon Mountain, southern Ethiopia,"High-toned, delicately sweet. Jasmine, blackberry, roasted cacao nib, almond butter, maple syrup in aroma and cup. Brightly tart acidity; buoyant, syrupy mouthfeel. The crisp, delicate finish consolidates to almond and cocoa notes in the short, lifted by the reemergence of sweetly tart berry tones in the long.","Odo Shakiso District, Guji Zone,",,others,medium,Kakalove Cafe,
Kolombian, southern Colombia,"Sweetly pungent, chocolate-toned. Dark chocolate, lightly scorched cedar, raisin, roasted hazelnut, lily-like flowers in aroma and cup. Round, gentle acidity; satiny mouthfeel. Flavor consolidates to raisiny dark chocolate in the resonant, gently drying finish.","Huila Department,",,others,medium,King's Koffee,
Kenya Ndaroini AA, south-central Kenya,"Complex, deeply and richly sweet. Dried coconut, dark chocolate, cherry blossom, tamarind, molasses in aroma and cup. Juicy, balanced, sweetly savory acidity; delicate, velvety mouthfeel. The resonant finish is deeply layered, leading with notes of cherry blossom and molasses in the short, followed by tart tamarind-like fruit notes, rounding to dark chocolate and a hint of coconut in the long.","Nyeri growing region,",,others,medium,Dragonfly Coffee Roasters,
El Salvador Finca Kilimanjaro Natural, El Salvador,"Sweetly tart, floral-toned. Lavender, passionfruit, roasted cacao nib, almond brittle, allspice in aroma and cup. Crisply sweet acidity; full, syrupy mouthfeel. The flavor-saturated finish is deep with cocoa- and spice-toned floral notes in the resonant short and perhaps a hint of sweet, grappa-like ferment in the long.","Santa Ana Department,",,others,medium,Bird Rock Coffee Roasters,
Gitesi Rwanda, Rwanda,"Sweetly tart, spice-toned. Violet, thyme, honey, hazelnut, cedar in aroma and cup. Juicy, balanced acidity; delicate, silky-smooth mouthfeel. The gently drying finish consolidates to violet and hazelnut in the short with suggestions of rich, aromatic cedar in the long.","Kirambo, Karongi District,",,others,medium,Cimarron Coffee Roasters,
Kamagogo Kenya, Kenya,An exquisite Kenya,"Murang’a Foothills, Aberdare Ridge, Central Province,",,others,medium,JBC Coffee Roasters,
Twisted 4.0 Espresso,not disclosed,"Evaluated as espresso. Deeply and richly sweet-tart. Dark chocolate, hazelnut, black cherry, lavender, sandalwood in aroma and small cup. Delicate, silky mouthfeel; sweet, chocolate-toned finish with supporting notes of lavender and sandalwood. In three parts milk, pungent floral tones are elevated and sweet cocoa notes deepen.",,,others,medium,JBC Coffee Roasters,
El Salvador Finca Kilimanjaro Cascara Fermentation Aida Batlle, El Salvador,"Intensely sweet, intricate. Dark chocolate, aromatic orchid, strawberry guava, almond butter, frankincense in aroma and cup. Juicy, savory-sweet acidity; delicate, satiny mouthfeel. A bonus coconut note surfaces in the resonant, flavor-saturated finish.","Santa Ana Department,",,others,medium,PT's Coffee Roasting,
Rwanda Nyampinga, southern Rwanda,"Delicate, crisply sweet. Jasmine, cedar, pink grapefruit zest, mango, roasted cacao nib in aroma and cup. Round, gentle acidity; satiny mouthfeel. The sweetly savory finish is carried by cocoa-toned floral notes with hints of citrus zest.","Nyaruguru,",,others,medium,Equator Coffees and Teas,
Jarama Rwanda, Rwanda,"Deeply sweet, quietly rich. Cashew, butterscotch, oak, freesia-like flowers, grapefruit zest in aroma and cup. Round, gentle acidity; crisp, satiny mouthfeel. The crisply dry finish is balanced, resonant and sweetly nut-toned.","Nayamasheke District, Western Province,",,others,medium,Amavida Coffee Roasters,
El Salvador La Loma Gloria Washed, El Salvador,"Delicate, crisply sweet. Violet candy, hazelnut butter, lemon verbena, molasses, cedar in aroma and cup. Bright, juicy acidity; lightly silky mouthfeel. The quiet finish settles to notes of lemon verbena and molasses.","El Boquerón region,",,others,medium,Old Soul Co.,
Ka’u Natural Typica, Big Island of Hawaii,"Deeply sweet, richly tart. Wisteria, tangerine zest, sandalwood, pomegranate, cashew in aroma and cup. Juicy, bittersweet acidity; satiny, buoyant mouthfeel. The richly drying finish consolidates to resonant notes of wisteria and pomegranate.","Ka’u growing region,",,others,medium,Rusty's Hawaiian Coffee,
Loma La Gloria Natural, El Salvador,"Sweet, deeply fruit-toned. Ripe blueberry, sherry-like wine, hazelnut, dark chocolate, a hint of cinnamon-sugar in aroma and cup. Bright, lively acidity; delicate, satiny mouthfeel. The richly drying finish consolidates to blueberry-toned dark chocolate and cinnamon.","El Boquerón region,",,others,light,Presta Coffee Roasters,
Rwanda Twongere Umusaruro, Rwanda,"Sweetly pungent, rich-toned, savory. Peach, violet, pistachio, molasses, thyme in aroma and cup. Gentle, backgrounded acidity; syrupy, lean though smooth mouthfeel. The resonant finish is long, leading with attractive floral top notes, followed by hints of stone fruit, finally rounding to cocoa and herb tones in the very long.","Rukara, Eastern Province,",,others,medium,Question Coffee,
Kenya Nyeri Kiamaina PB, south-central Kenya,"Elegant, richly sweet, deeply savory. Butterscotch, roasted cacao nib, dried jasmine, caraway seed, sandalwood in aroma and cup. Crisply sweet acidity; full, syrupy mouthfeel. The richly drying cocoa-toned finish is saturated with notes of butterscotch and dried jasmine.","Nyeri growing region,",,others,medium,Seattle Coffee Works,
