coffee_title,coffee_origin,roaster_name,variety,production,roast_level,flavour
Sarchí,Tanzania,VeliK Coffee,Ethiopia / Sudan Assesion,,,Peanuts Nutty Chocolate Nutty  Cocoa Vanilla
Peru La Naranja La Coipa,Colombia,Coffee Compass,PacasBourbonPacamaraMaragogype,,,Cinnamon Floral Floral Cherry Other  Fruit Fruity Other
60/40,Honduras,Heart & Graft,,,,Nutty Sweet Orange Fruity
Burundi Long Miles Estate Bourbon,Colombia,Coffee Compass,,,,Pepper Nutmeg Spices Chocolate
Mediterranean Mocha Espresso,Mexico,Coffee Compass,,,,Chocolate Caramelized Sweet Citrus  Fruit
Java Jampit Estate,Brazil,Coffee Compass,,,,Nutty Sweet Orange Fruity
Peru Bagua Grande Co2 Decaffeinated,Indonesia,Coffee Compass,,,,Hazelnut Nutty Chocolate Sweet Cherry Peach Fermented Overripe Other
Ethiopia Rocko Mountain Reserve Natural Process,Brazil,Coffee Compass,,,,Nutmeg Dark  Chocolate Vanilla Berry Cherry Grapefruit Orange
Barbosa,Cuba,VeliK Coffee,,,,Roasted Chocolate Molasses Caramelized Honey Vanilla Sweet Fruity Winey
Honduras Serendipia,Indonesia,Heart & Graft,,,,Dark  Chocolate Berry Citrus  Fruit
Matunda,Ethiopia,VeliK Coffee,,,,Caramelized Vanilla Sweet Citrus  Fruit Fermented Other
Mahogany Roast Malabar Hit,Indonesia,Coffee Compass,,,,Nutty Sweet
Kenya Peaberry,Brazil,Coffee Compass,,,,Floral Floral Citrus  Fruit
Extra Dark Wild Ethiopian Highland,Costa Rica,Coffee Compass,,,,Chocolate Caramelized Sweet  Aromatic Sweet Jasmine Floral Floral Raspberry Strawberry Peach Other  Fruit Fruity
Mexico Siltepec El Jaguar,Brazil,Coffee Compass,,,,Vanilla Sweet Floral Floral Cherry Peach Other  Fruit Citrus  Fruit Fruity Fermented Overripe
Jamaica Blue Mountain 100% Jamaican Blue Mountain Coffee - Peaberry,Jamaica,Mikah Blue,ArabicaGesha / Abyssinia,Washed,Light,Roasted Nutty Chocolate Sweet
Java Lingtong,Indonesia,Coffee Compass,Java (Cultivar),Natural,Dark,Hazelnut Nutty Molasses Maple  Syrup Caramelized Honey Sweet Apple Citrus  Fruit
Ethiopia Guji Dimtu Natural Process,Ethiopia,Coffee Compass,Ethiopia / Sudan AssesionRobiaceae Coffea,Washed,Medium,Clove Spices Cherry
Indian Bibi Plantation A,India,Coffee Compass,Robiaceae CoffeaCatuai,Washed,Medium,Vanilla Berry Citrus  Fruit
El Salvador Finca Los Pirineos Red Bourbon,El Salvador,Coffee Compass,BourbonPacamaraJava (Cultivar)Red BourbonCatisicGesha / AbyssiniaLaurina / Bourbon Pointu,Honey,Medium Dark,Roasted Spices Chocolate Vanilla Berry Lime Citrus  Fruit Fruity
Peru Barrios Altos,Kenya,Javabean,ArabicaGesha / Abyssinia,Honey,Medium,Vanilla Sweet Cherry Peach Orange Citrus  Fruit Fruity
Jamaica Blue Mountain Jamaican Blue Mountain Coffee Blend,Peru,Mikah Blue,CaturraTypica,Washed,Medium,Vanilla Floral Floral Citrus  Fruit
Bolivia Finca Los Rodriguez Santa Cruz Caturra,Jamaica,Coffee Compass,Typica,"DecafWashed, Sparkling Water (CO2)",Medium,Pineapple Other  Fruit Grapefruit
Colombia Planadas,Bolivia,Javabean,BourbonRobiaceae Coffea,Washed,Medium,Clove Chocolate Sweet Floral Orange Citrus  Fruit
Old Brown Java,Honduras,Coffee Compass,Red Bourbon,Wet Hulled,Dark,Chocolate Dark  Chocolate Caramelized Strawberry Berry Peach Other  Fruit Orange Overripe
El Salvador Finca El Ingenio Bourbon,Colombia,Coffee Compass,ArabicaGesha / Abyssinia,Washed,Medium,Molasses Honey Vanilla Jasmine Berry Lemon
El Salvador Finca El Borbollón Red Bourbon,Indonesia,Coffee Compass,IcatuYellow Bourbon,"DecafWashed, Sparkling Water (CO2)",Dark,Nutty Sweet Black  Tea Floral Orange Fruity
Jamaica Blue Mountain 100% Jamaican Blue Mountain Coffee,El Salvador,Mikah Blue,TypicaRobiaceae CoffeaRed Catuai,Washed,Medium Dark,Malt Sweet Citrus  Fruit Salty
Brazil Ipanema Gourmet Pulped Natural,El Salvador,Coffee Compass,CaturraBourbonTypicaArabica,Natural,Medium,Sweet Other  Fruit Lemon Fermented
Brazil Ecoagricola Serra Do Cabral Red Catuai,Jamaica,Coffee Compass,Arabica,Natural,Light,Hazelnut Nutty Chocolate Brown  Sugar
Guatemala El Durazno,Brazil,Javabean,ColombiaArabica,Washed,Dark,Hazelnut Chocolate Vanilla Sweet Cherry Peach
Andino,Brazil,VeliK Coffee,Acaia,Wet Hulled,Light,Chocolate Nutty  Cocoa Vanilla Sweet  Aromatic Sweet Jasmine Floral Peach Lemon
Brighton Lanes Espresso Blend,Guatemala,Coffee Compass,Robiaceae Coffea,Washed,Medium Dark,Clove Chocolate Molasses Caramelized Sweet Orange
Mexico Bellavista Café California,Colombia,Coffee Compass,Bourbon,Washed,Light,Roasted Nutty Nutty  Cocoa Vanilla Sweet
French Breakfast Blend,Kenya,Coffee Compass,CastilloColombiaTypica,Washed,Medium,Almond Dark  Chocolate Sweet
Guatemala – Q’anil Decaf,Peru,Javabean,ColombiaCaturraRobiaceae Coffea,Natural,Medium,Honey Sweet Raisin Dried  Fruit Orange Winey Whiskey
Brazil Ipanema Premier Cru Gold Edition Red Acaia,Brazil,Coffee Compass,Bourbon,"DecafNatural, Sparkling Water (CO2)",Medium Dark,Clove Hazelnut Molasses Caramelized Sweet
Indonesia Bersama Mandiri Sejahtera,India,Heart & Graft,S795,Washed,Dark,Chocolate Caramelized Peach Fruity
El Salvador El Cipres Montana,Mexico,Javabean,Bourbon,"DecafWashed, Swiss Water",Medium,Roasted Hazelnut Chocolate Vanilla Berry Citrus  Fruit
Ethiopia Haro,Costa Rica,Javabean,Mundo NovoCatuai,"DecafWashed, Swiss Water",Medium,Dark  Chocolate Molasses Maple  Syrup Caramelized Berry
Rwanda Ngoma Mama'S Lot Bourbon,Brazil,Coffee Compass,Ethiopia / Sudan Assesion,Washed,Medium,Honey Apple Lemon
Colombia Finca Sofia Screen 19,Colombia,Coffee Compass,ArabicaGesha / Abyssinia,Washed,Medium,Overall  Sweet Sweet Floral Peach Lemon
Colombia Inzá Cauca Smallholders,Guatemala,Coffee Compass,Java (Cultivar)Typica,Washed,Medium,Chocolate Molasses Maple  Syrup Caramelized Apple
Sweet Bourbon Espresso Blend,Brazil,Coffee Compass,ArabicaGesha / Abyssinia,"DecafWashed, Sugarcane (E.A.)",Medium,Chocolate Caramelized Berry Apple
Guatemala Jalapa Community Lot Co2 Decaffeinated,Indonesia,Coffee Compass,BourbonRobiaceae Coffea,Wet Hulled,Medium,Dark  Chocolate Molasses Caramelized Sweet
India Melkodige Estate,El Salvador,Heart & Graft,Ruiru 11SL-34SL-28,Washed,Medium,Grain Spices Caramelized Sweet Berry Pineapple Other  Fruit Grapefruit
Brazil Bourbon,Ethiopia,Coffee Compass,Mundo NovoAcaiaYellow Bourbon,Washed,Medium,Dark  Chocolate Grape Fruity
Brazil Fazenda Aragao,Rwanda,Heart & Graft,Arabica,Decaf,Medium,Nutty Chocolate Nutty  Cocoa Caramelized Sweet
Guatemala Finca Los Jocatales Natural Process,Colombia,Coffee Compass,Red BourbonRed Catuai,Washed,Light,Chocolate Caramelized Vanilla Dried  Fruit
Jamaica Blue Mountain 100% Jamaican Blue Mountain Coffee,Colombia,Mikah Blue,Colombia,Natural,Light,Caramelized Sweet Blackberry Raisin Dried  Fruit Apple
Indonesia Sulawesi Kalossi Toraja Grade 1,Asia,Coffee Compass,Ethiopia / Sudan Assesion,Washed,Light,Dark  Chocolate Apple Lime Citrus  Fruit
Brazil Cachoeira Toriba,Guatemala,Javabean,CatuaiGesha / Abyssinia,"Natural, Monsooned",Medium Light,Hazelnut Chocolate Molasses Caramelized
Jamaica Blue Mountain Jamaican Blue Mountain Coffee Blend,India,Mikah Blue,Ethiopia / Sudan Assesion,Washed,Dark,Roasted Chocolate Cocoa Nutty  Cocoa Caramelized Sweet Other  Fruit Lime Fruity
Guatemala Finca Concepcion Pixcayá Bourbon,Brazil,Coffee Compass,Bourbon,Honey,,Chocolate Vanilla Strawberry Other  Fruit
Kenya Mikari Ab,Brazil,Heart & Graft,CastilloColombiaCaturraBourbon,Washed,,Roasted Nutmeg Caramelized Brown  Sugar Sweet Lemon
Brazil Rei Das Montanhas Mahogany Roast,Guatemala,Coffee Compass,Cera,Natural,,Pepper Spices Chocolate Caramelized Sweet Floral Prune Orange Citrus  Fruit
Brazil Co2 Decaf,Ethiopia,VeliK Coffee,Blue Mountain,Washed,,Brown  Sugar Grapefruit Orange
Honduras Cerro Azul Red Catuai,Jamaica,Coffee Compass,Ethiopia / Sudan AssesionJava (Cultivar),Natural,,Hazelnut Dark  Chocolate Sweet Floral Dried  Fruit Apple Whiskey
Colombia Swiss Water Decaffeinated,Indonesia,Coffee Compass,Ethiopia / Sudan AssesionColombia,Washed,,Chocolate Vanilla Berry Peach Citrus  Fruit Fruity
Ethiopia Swiss Water Decaffeinated,Brazil,Coffee Compass,BourbonCatuai,Washed,,Sweet Rose Floral Blueberry Berry Citrus  Fruit Fruity Winey
Honduras Finca Maria Bonita,Jamaica,Heart & Graft,Mundo NovoBourbonTabiMaragogype,Washed,,Pepper Nutty Floral
Ethiopian Kochere Yirgacheffe G1 Fully Washed,Guatemala,Coffee Compass,Catimor / Ateng,DecafWashed,,Sweet Berry Other  Fruit
Guatemala Finca El Bosque Amatitlan Bourbon,Kenya,Coffee Compass,SL-34SL-28,Honey,,Nutty Chocolate Caramelized Vanilla Sweet Citrus  Fruit
The Barnraiser Collection,Brazil,Heart & Graft,ArabicaBlue MountainGesha / Abyssinia,Washed,,Molasses Caramelized Orange Sour  Aromatics Fresh
Colombia Azahar Decaff,Brazil,Heart & Graft,Typica,Washed,,Chocolate
Sumatra Mount Kerinci G1,Nicaragua,Coffee Compass,ColombiaCaturra,Natural,,Nutty Cocoa Orange
Kenya Aa Blue Mountain,Honduras,Coffee Compass,Bourbon,Honey,,Caramelized Raspberry Lemon
Mahogany Roast Jampit Hit,Colombia,Coffee Compass,Ethiopia / Sudan Assesion,Natural,,Caramelized Rose Grape Peach Pear Fruity
Cherry Cherry Espresso,Ethiopia,Coffee Compass,CaturraTypica,Washed,,Brown  Sugar Sweet Berry Citric  Acid
Guatemala Swiss-Water Processed Decaffeinated,Honduras,Coffee Compass,ColombiaBourbonArabica,Washed,,Floral Floral Dried  Fruit Other  Fruit Whiskey
Australian Skybury,Ethiopia,Coffee Compass,BourbonTypicaLempiraCatuai,Natural,,Berry Cherry Apple
Nicaragua La Florencia Maragogype,Guatemala,Coffee Compass,CastilloColombiaCaturraTypica,Washed,,Almond Dark  Chocolate Cocoa Floral
China Banka Natural,Brazil,Heart & Graft,Mundo NovoCatuai,Washed,,Sweet Strawberry Other  Fruit Fruity
Kenya Honeybush Estate,Honduras,Coffee Compass,CastilloColombiaCaturra,Washed,,Chocolate Dark  Chocolate Molasses Caramelized Cherry Fruity
Jamaica Blue Mountain 100% Jamaican Blue Mountain Coffee,India,Mikah Blue,IHCAFE 90,Natural,,Roasted
Indian Monsoon Malabar,Colombia,Coffee Compass,Gesha / Abyssinia,"DecafWashed, Sugarcane (E.A.)",,Vanilla Sweet Peach Other  Fruit
Colombia Finca Las Mercedes La Isla,China,Coffee Compass,CastilloColombiaCaturra,Natural,,Caramelized Vanilla Strawberry
Barnraiser,Indonesia,Heart & Graft,Marsellesa,Natural,,Nutty Dark  Chocolate Raisin
Rockland Espresso Blend,Vietnam,Javabean,Bourbon,Washed,,Chocolate Caramelized Floral Berry Peach Orange
Honduras Finca Cual Bicicleta,Kenya,Heart & Graft,Ruiru 11SL-34BatianSL-28,Washed,,Anise Caramelized Sweet  Aromatic Orange Herb like
Peru Finca Las Pirias La Coipa,Brazil,Coffee Compass,Robiaceae Coffea,Washed,,Nutty Caramelized Fruity
Red Roast Blend,Indonesia,Coffee Compass,Mundo NovoCatuai,,,Berry Pear Winey Fermented
Rancheros Mahogany Roast,Ethiopia,Coffee Compass,CaturraBourbonCatuai,,,Spices Caramelized Honey Floral Floral
Honduras Miriam Perez Natural,Colombia,Heart & Graft,Colombia,,,Vanilla Black  Tea Other  Fruit
Dominican Republic Cibao Altura Juncalito,Ethiopia,Coffee Compass,Red Bourbon,,,Nutty Dark  Chocolate Fruity
Quebradon - Colombia,Guatemala,Abe & Co,TypicaHybrido de Timor,,,Cinnamon Nutty Floral Apple Lemon
Monte Carmelo - Brazil,Australia,Abe & Co,TypicaHybrido de Timor,,,Burnt Molasses Caramelized Sweet Floral Floral Grape Citrus  Fruit
Colombian El Bombo Organic Coffee,El Salvador,Amber,SL-34SL-28,,,Nutty Peach Citrus  Fruit
José Danilo Fuentes - Honduras,Brazil,Abe & Co,CastilloColombiaCaturra,,,Nutty Chocolate Maple  Syrup Sweet
Colombian Diego Samuel Bermudez Geisha Coffee,Nicaragua,Amber,CaturraBourbonCatuai,,,Chocolate Sweet Apple Fresh
Colombian Decaf Coffee,Guatemala,Amber,Red BourbonJacksonKent,,,Nutty Sweet
El Salvador Fincas Las Mercedes Coffee,China,Amber,Bourbon,,,Anise Nutty  Cocoa Maple  Syrup Sweet Strawberry Peach Fruity
Amber Blend Coffee,Kenya,Amber,SL-34Ruiru 11BatianSL-28,,,Nutty Chocolate Caramelized Peach Citrus  Fruit
Huye Mountain - Rwanda,Jamaica,Abe & Co,Pache Comum,,,Nutty Chocolate Caramelized Sweet Citrus  Fruit Fruity
Kenya Nyeri Coffee,India,Amber,,,,Chocolate Sweet Blackberry Pineapple Peach Grapefruit Citrus  Fruit Fruity Winey
Bom Jesus - Brazil,Colombia,Abe & Co,,,,Honey Floral Peach Orange
Brazilian Mogiana Coffee,El Salvador,Amber,,,,Roasted Floral Floral
Finca El Bosque - Nicaragua,Brazil,Abe & Co,,,,Nutty  Cocoa Vanilla Sweet Pineapple Other  Fruit Grapefruit Citrus  Fruit Fruity
Guatemala Union Cantinil Coffee,Indonesia,Amber,,,,Roasted Hazelnut Nutty Chocolate Caramelized Sweet
Signature Blend Coffee,Honduras,Amber,,,,Dark  Chocolate Caramelized Sweet Apple Citrus  Fruit
First Edition Espresso Blend - Brazil/Colombia,India,Abe & Co,,,,Hazelnut Caramelized Vanilla Sweet
Rwandan Dukundekawa Musasa Coffee,Brazil,Amber,,,,Hazelnut Chocolate Cherry
Hatuhei - Timor-Leste,Honduras,Abe & Co,,,,Nutty Chocolate Sweet Peach
Lacau - Timor Leste,Peru,Abe & Co,,,,Hazelnut Chocolate Strawberry
Ndundu Ab,El Salvador,Cartwheel,,,,Cinnamon Spices Dark  Chocolate Citrus  Fruit Musty  Earthy Bitter
Colombia Risaralda,Brazil,Crosby Coffee,,,,Cereal Roasted Nutty Vanilla Sweet Floral Pear
San Fermin,Colombia,Origin,,,,Sweet Black  Tea Rose Grape Pear Other  Fruit
Colombia Decaf,Mexico,Loud Mouth Coffee,,,,Dark  Chocolate Brown  Sugar Orange
Miramar Filter,India,Wellington,,,,Chocolate Sweet  Aromatic Floral
Guatemala Santa Rosa - Ayarza Lake,Honduras,Rockhill Brothers,,,,Orange Sour  Aromatics Fresh
Peppermint Herbal Infusion,Dominican Republic,Two Dogs,,,,Sweet Pineapple Other  Fruit
Kinini Station – Rwanda,Colombia,Redroaster,,,,Nutty Dark  Chocolate
El Salvador - Chalcuapa - Finca San Antonio,Brazil,Two Dogs,,,,Chocolate Molasses Caramelized Sweet
Two Can Dance Coffee,Brazil,Three Ridings Coffee,Mundo NovoIcatuTupiArabicaAcaiaCatuai,Natural,Medium,Sweet Berry Cherry Fruity
Peru Elevi Rufasto,Costa Rica,North Star,CaturraTypica,Washed,Medium Light,Almond Molasses Honey Sweet
China - Aqi Badu Natural,Peru,Moonroast,Catimor / Ateng,Natural,Medium,Roasted Blueberry Pineapple Fruity
Papua New Guinea Kenta Co-Op,Colombia,On The Grind,BourbonTypicaArusha,Washed,Light,Floral Floral Berry Other  Fruit
Kuruxu | Brazil,China,Notes,Caturra,Natural,Medium,Sweet
"Gregorio Esquen, Peru",Papua New Guinea,Nelson Coffee Roasters,Caturra,Washed,Medium,Roasted Nutty Chocolate Dark  Chocolate Cocoa Nutty  Cocoa Molasses Caramelized Vanilla Sweet Berry Raisin Other  Fruit Orange Fruity
Fazenda Cetec,Brazil,Fortitude,Catuai,Natural,Light,Sweet Berry
Burundi - Migoti Hill Lot 2,Peru,Fika,Red Bourbon,Natural,Medium,Roasted Nutty Chocolate Dark  Chocolate Nutty  Cocoa Caramelized Floral Berry Dried  Fruit Salty
Colombia El Filo,Brazil,Ristretto,CastilloCaturra,Washed,Medium Dark,Nutty Dark  Chocolate Other  Fruit
Unroasted Green Coffee Beans,Burundi,Ethical Addictions,ColombiaArabica,Natural,Light,Molasses Caramelized Raisin Orange
Ethiopia Yirgacheffe G3 Awash River,Colombia,The Roasting Party,Ethiopia / Sudan Assesion,Natural,Dark,Spices Honey Vanilla Sweet Strawberry Cherry Pear Lemon Fruity Bitter
Uganda - Rwenzori Speciality 86+ . Direct Trade,Brazil,River City,NyasalandSL-34SL-28,Washed,Dark,Dark  Chocolate Caramelized Vanilla Sweet Berry Citrus  Fruit
Sitio Canjarana (filter),Tanzania,Round Hill Roastery,Yellow Catuai,"Natural, Anaerobic or Macerated",Medium,Chocolate Dried  Fruit
Peru El Oso,Colombia,Edgcumbes,Mundo NovoCaturraPache ComumBourbonTypicaCatimor / Ateng,Washed,Dark,Dark  Chocolate Brown  Sugar Winey
Somerford Breakfast Blend,Cameroon,Cotswold Coffee Roasters,Java (Cultivar),Natural,Medium,Jasmine Dried  Fruit Grape Fruity Whiskey
Espresso Duo | Ethical Coffee Blend,Ethiopia,Ethical Addictions,Robiaceae Coffea,Washed,Light,Sweet Chemical
Black Forest,Uganda,Department of Coffee,Robiaceae Coffea,Natural,Dark,Clove Cherry Orange
Jamaica Blue Mountain Blend,Brazil,On The Grind,Colombia,Natural,Dark,Honey Vanilla Blueberry
House  Ethiopia – Werka Wuri,Peru,Clifton Coffee,CaturraCatuai,Washed,Medium Light,Hazelnut Cocoa Citrus  Fruit
Flirt,Indonesia,Stokes Tea and Coffee,Topázio,Natural,Light,Cinnamon Honey Peach
Team Kitchen Steel Cut Oatmeal With Apple & Cinnamon,Rwanda,Nude,Bourbon,Washed,Medium,Caramelized Vanilla Sweet Other  Fruit
Costa Rica San Antonio - Used For Dragons Den,Zambia,Boun Beans,SL-14SL-28,Natural,Light,Nutmeg Sweet Cherry
"Salto, Brazil",Jamaica,Obadiah,Caturra,Natural,Medium,Nutty Chocolate Peach
Fazenda Pedra,Ethiopia,Coffee Real,Mundo NovoIcatuTupiAcaiaCatuai,Washed,Dark,Chocolate Caramelized Raspberry Blueberry
Tarrazu,D.R. Congo,Stirling Coffee,SL-14SL-28,Natural,Medium,Dark  Chocolate Blackberry Raisin
Uganda Kisinga,Kenya,Lost Barn,LempiraCatuai,Honey,Medium,Blackberry Cherry Lemon Overripe
True North,Colombia,Glen Lyon,Colombia,Natural,Green,Nutty  Cocoa Vanilla Berry Lemon
Iguazu,Costa Rica,Whole in the Ground,ColombiaCaturraGesha / Abyssinia,Washed,Light,Lime
Uganda Natural- Bukonzo Dream,Brazil,Hope Espresso,CaturraPacamaraCatuai,Honey,Medium,Hazelnut Chocolate Caramelized
Honduras - Finca San Marcos,Brazil,On The Grind,N39Catimor / Ateng,Washed,Medium,Roasted Hazelnut Molasses Caramelized Sweet Floral Floral Orange Citrus  Fruit
Espresso Blend,Costa Rica,Kaffee Culture,Yellow Bourbon,Natural,Light,Chocolate Caramelized Raspberry
El Para,Uganda,Fidela,ColombiaArabica,"Natural, Monsooned",Dark,Dark  Chocolate Raisin Grapefruit Bitter
Abel Gomez Guayacanes De San Lorenzo,Peru,Crankhouse Coffee,Red Bourbon,Washed,Medium Dark,Chocolate Honey Berry
The Rural Coffee Project Roast,Brazil,Sidewalk Coffee,Catuai,"DecafWashed, Sugarcane (E.A.)",Medium,Chocolate Nutty  Cocoa Caramelized Vanilla Sweet Floral Floral
La Vanguardia,Uganda,Origin,Arabica,Natural,Medium,Chocolate Cocoa Other  Fruit Citrus  Fruit
Brasil Daterra Sunrise Ground Coffee,Honduras,Grumpy Mule,Ethiopia / Sudan AssesionTypicaRobiaceae Coffea,Washed,Light,Caramelized Brown  Sugar Berry Grapefruit
Tanzania Aa,Brazil,Grain and Grind,Colombia,Natural,Medium,Chocolate Cherry Citrus  Fruit
Brazilian Ipanema Yellow Bourbon,Honduras,On The Grind,GimmaRobiaceae Coffea,Natural,Medium,Chocolate Berry
1942 Blend Coffee,Colombia,H. R. Higgins,Castillo,Washed,Dark,Almond Nutty Chocolate Sweet Raisin Cherry Fruity
El Salvador: El Borbollon - Single Estate - 100% Arabica,Colombia,Rinaldo's Coffee,CaturraPache ComumBourbonCatuai,Washed,Medium,Hazelnut Chocolate Cherry Whiskey Fermented
Carlos Zati,Colombia,Cartwheel,CastilloColombiaCaturra,Honey,Light,Floral Floral Coconut Grape Peach Lime
Raw Green India Monsoon Malabar,Brazil,On The Grind,CastilloCaturra,Natural,Medium,Nutty Nutty  Cocoa Caramelized Honey Brown  Sugar Sweet Raisin Prune Other  Fruit Orange Fruity
Chun Mee Organic Green Tea,Panama,Two Dogs,Bourbon,Natural,Medium,Hazelnut Chocolate
Sidamo,Brazil,Edgcumbes,Acaia,Washed,Light,Cinnamon Cocoa Apple Citrus  Fruit
"Passiflora, Colombia",Tanzania,Nelson Coffee Roasters,Ethiopia / Sudan AssesionAgaroJARC 74110GimmaRobiaceae CoffeaJARC 74112,"DecafWashed, Sugarcane (E.A.)",Medium,Maple  Syrup Vanilla Sweet Citrus  Fruit
Ethiopia Kabira Natural,Brazil,Strangers,Ruiru 11SL-34SL-28,Honey,Medium,Cinnamon Brown  Sugar Citrus  Fruit
Colombia - El Calapo - Direct Trade,Costa Rica,The Missing Bean,CaturraBourbon,Honey,Medium,Smoky Burnt Caramelized Musty  Earthy
Guatemala El Boquerón,Brazil,Hands On Coffee,Mundo NovoCaturraPacasBourbonCatuai,Honey,Light,Roasted Spices Chocolate Honey Sweet Berry Fermented Bitter
Sombrio Brazilian Espresso Coffee,Colombia,Well Roasted,Catuai,Washed,Light,Caramelized Sweet Jasmine Lemon
"*new* Galeras, Colombia",El Salvador,Wacka Espresso,CastilloCaturraMundo NovoAcaia,Washed,Medium,Nutty Sweet Other  Fruit
Kenya Kisii Estate,Brazil,Indy Coffee,CaturraBourbon,Washed,Dark,Dark  Chocolate Sweet Black  Tea Strawberry Cherry Pear Other  Fruit
Colombia San Sebastian,India,UE Coffee Roasters,Gesha / Abyssinia,Washed,Medium Dark,Maple  Syrup Brown  Sugar Vanilla Sweet Cherry Other  Fruit Orange Lemon Fermented Under ripe Other
Gascon,China,Artisan Roast,CaturraYellow Bourbon,"DecafWashed, Sparkling Water (CO2)",Medium,Nutmeg Spices Nutty Chocolate Brown  Sugar Sweet Apple Fermented Bitter
Patricia’s Brazil Fazenda Santo Antonio Acaia Natural,Ethiopia,Sabins,Bourbon,Washed,Medium,Chocolate Sweet Citrus  Fruit
Ethiopia - Mustefa Abakeno - 200g,Colombia,Abstract,Catimor / AtengHybrido de TimorS795,Natural,Medium,Caramelized Brown  Sugar Blueberry Strawberry Fruity Raw
Kenya Kisson Estate Ab,Ethiopia,Argyll Coffee Roasters,Laurina / Bourbon Pointu,"DecafWashed, Swiss Water",Dark,Nutmeg Spices Chocolate
Peru | Los Silvas,Colombia,Hundred House,Catuai,Natural,Light,Chocolate Molasses Caramelized Sweet Orange
Type 25 Blend,Guatemala,Campervan Coffee Co,Robiaceae Coffea,Washed,Medium,Nutty  Cocoa Floral Strawberry Winey
Toraja // Indonesia,Brazil,Yallah,Red Bourbon,Washed,Medium,Cereal Peanuts Dried  Fruit Whiskey
House Blend: Carnival,Colombia,HEJ,CaturraTypica,"DecafWashed, Mountain Water",Light,Molasses Caramelized Sweet Floral Pineapple Musty  Earthy
Guatemala Finca La Bolsa Washed,Kenya,North Star,Arabica,Washed,Dark,Chocolate Caramelized Grape Citrus  Fruit Fruity
The Filter Blend,Colombia,Square Mile Coffee,TypicaArabicaBlue Mountain,Washed,Dark,Cinnamon Spices Dark  Chocolate Caramelized Brown  Sugar Vanilla Sweet
Costa Rica Batamba Geisha,Guatemala,Kaffee Culture,Red Bourbon,Washed, Dark,Brown  Sugar Sweet Orange Fruity Vegetative
Docker,Brazil,The Blending Room,Ethiopia / Sudan Assesion,Natural,,Clove Cocoa Vanilla Sweet Other  Fruit
Single Origin Co2 Decaf,Ethiopia,North Star,Red Catuai,Washed,,Nutty  Cocoa Vanilla Floral Dried  Fruit Pear Whiskey
Sumatra Mandheling Grade 1,Kenya,Luckie Beans,Mibirizi,Washed,,Hazelnut Cocoa Caramelized
M'Boi Tata | Brazil,Peru,Notes,Red Bourbon,Natural,,Hazelnut Nutty Caramelized Sweet
Honduras Swiss Water Decaffeinated – Certified Organic,El Salvador,Green Bridge Organics,Yellow Catuai,Washed,,Roasted Cinnamon Spices Maple  Syrup Citrus  Fruit
Ethiopia Buku Sayisa Microlot,Costa Rica,Bailies Coffee,BourbonTypica,"DecafWashed, Sugarcane (E.A.)",,Almond Caramelized Honey Sweet Cherry Apple Fruity
Masenga Hill | Burundi,Brazil,Roast Lab,CastilloCaturra,Washed,,Hazelnut Molasses Caramelized Citrus  Fruit
Mexico Monte Azul,Indonesia,Scotties Coffee,Ethiopia / Sudan AssesionGimmaRobiaceae Coffea,Honey,,Almond Chocolate Caramelized Vanilla Sweet Cherry
Uganda - Drugar Mountain Decaf,Brazil,On The Grind,Colombia,Honey,,Sweet
Jamaica Blue Mountain Coffee,Nicaragua,H. R. Higgins,Catuai,Natural,,Nutmeg Honey Apple Orange Fresh
El Salvador - Santa Leticia - Red Bourbon,Colombia,On The Grind,Robiaceae Coffea,Washed,,Hazelnut Chocolate Maple  Syrup Sweet Cherry Citrus  Fruit Sour Winey
"Personalised - ""a Mouse'S Tale"" Coffee Blend",Guatemala,Three Ridings Coffee,SL-34SL-28,Washed,,Spices
Red Brick,Brazil,Square Mile Coffee,CastilloColombiaCaturra,"DecafWashed, Sugarcane (E.A.)",,Black  Tea Floral Strawberry
Exclusive Veloso,Nicaragua,Coffee Being,Colombia,"DecafWashed, Swiss Water",,Cocoa Molasses Caramelized Brown  Sugar Sweet Lemon Fruity Citric  Acid
Burundi Bukhorka,Costa Rica,Kaffee Culture,CaturraBourbonTypica,Natural,,Roasted Almond Caramelized Brown  Sugar Sweet Floral Raisin
Burundi Kigeri Washed,Brazil,North Star,Catuai,Natural,,Roasted Nutty Chocolate Nutty  Cocoa Caramelized Vanilla Coconut Fruity Fresh
Baba Brew,El Salvador,Hundred House,KumieWilshoDeiga/Dega,Washed,,Chocolate Berry
Wee Stoater,Indonesia,Unorthodox,Typica,Washed,,Dark  Chocolate Nutty  Cocoa Molasses Vanilla
Ethiopia Guji - Wolichu Wachu - Grade 1,Brazil,Rockhill Brothers,Castillo,Natural,,Hazelnut Nutty Chocolate Molasses Caramelized Vanilla Sweet Apple Orange Citrus  Fruit Fruity
Decaf,Honduras,Pilgrims Coffee,CastilloCaturraBourbonArabica,DecafNatural,,Chocolate Caramelized Sweet Cherry
Fire & Brimstone,Ethiopia,Pilgrims Coffee,Red Bourbon,Washed,,Sweet Black  Tea Floral Raisin Dried  Fruit Apple
Aoife,Burundi,Causeway,CaturraBourbon,,,Rose Floral Floral Lemon Citrus  Fruit
Hacienda Sonoara - Honey / Natural,Mexico,Coffee Real,,,,Sweet Pineapple Pear
