,coffee_title,coffee_origin,roaster_name,variety,production,roast_level,flavour
432,Kenya: Edition 22.063,Kenya,Hasbean,Arabica,Washed,Omni,ChocolateBrown SugarOrange
433,El Salvador: Edition 22.065,Costa Rica,Hasbean,Coffea Canefora,Wet Hulled,Filter,CloveChocolate
434,Honduras,Brazil,John Watt And Son,Ethiopia / Sudan Assesion,"Natural, Monsooned",Espresso,RoastedChocolateNutty/CocoaCaramelizedHoneyVanillaSweetFloralCitrus Fruit
435,Signature Gold,Indonesia,The Runner Bean Coffee Co,Yellow CatuaiColombiaCaturraTabiTypicaRed Catuai,Natural,Filter,ChocolateRaisinOther Fruit
436,Organic Decaf,Timor,Exhale,Hybrido de Timor,Natural,Dark,AlmondNuttyDark ChocolateBrown SugarCherryBitter
437,Guinea Daro,Kenya,Bristol Twenty,Arabica,Washed,Omni,ChocolateBerryGrapeCitrus Fruit
438,Ethiopia Limu - Whole & Ground Roasted Ethiopian Coffee Beans,El Salvador,Copper,Typica,Washed,Green,NuttyNutty/CocoaCaramelizedVanillaSweetFloralBerryDried Fruit
439,Bristol Team Canteen Collab,Honduras,Wogan Coffee,Bourbon,Washed,Filter,AlmondCaramelizedOther Fruit
440,Incoming Blend,South America,Perky Blenders,Typica,Honey,Omni,RoastedSpicesSweet
441,Indonesian Specialty Coffee - Sumatran Mandheling 1,Peru,The Flat Cap,Mundo NovoYellow Bourbon,Washed,Omni,NuttyChocolateVanillaFruity
442,21 Ten,Africa,Bristol Twenty,ColombiaRobiaceae Coffea,Washed,Omni,RoastedNuttyChocolateDark ChocolateNutty/CocoaSweetCitrus Fruit
443,"Unity,  Blend",Ethiopia,Cast Iron,CaturraBourbonCatimor / AtengCatuai,DecafWashed,Medium,AniseSpicesSweet AromaticHerb-like
444,Monsoon Malabar Coffee,Nicaragua,York Emporium,ColombiaArabica,"DecafWashed, Swiss Water",LightOmni,Dark ChocolateSweetRaisinDried FruitCherry
445,Rwanda Gasharu Nº 152,Colombia,Rave,CastilloColombia,Wet Hulled,Filter,ChocolateCocoaVanillaOrange
446,Brazil Peaberry,Costa Rica,Naked Roaster,Yellow CatuaiCaturraRed Catuai,Washed,Medium LightFilter,CocoaBrown SugarVanillaSweetFloral
447,"Juscyleia Reis, Brazil, Natural",Colombia,Girls Who Grind Coffee,CaturraCatuai,Wet Hulled,Filter,NuttyCaramelizedHoneySweetOther Fruit
448,The Yard,Indonesia,Redemption Roasters,Caturra,Natural,Medium,FloralFloralRaisinPeachGrapefruitFruity
449,Old Mother Nightshade – Peru,Costa Rica,Seven Districts,CastilloCaturraTypica,Washed,MediumEspresso,CerealChocolateMolassesCaramelized
450,Mexico | Huatusco Microlot | Yeast Fermentation,Brazil,CLO,Arabica,Washed,Filter,Dark ChocolateCocoaHoneySweetFloralDried FruitOrangeWiney
451,"Diaz Castillo Sisters, Colombia, Honey",India,Girls Who Grind Coffee,Robusta,Natural,Green,CaramelizedVanillaSweetApplePearCitrus Fruit
452,Nicaraguan La Bastilla,Rwanda,Quirky Coffee Co,BourbonCatimor / AtengHybrido de Timor,Washed,Espresso,Brown SugarVanillaOrange
453,Costa Rican Tarrazú La Trinidad,Brazil,Wogan Coffee,Bourbon,Washed,Medium,ChocolateMaple SyrupPear
454,Decaf: Colombia La Serrania,Brazil,Hasbean,Bourbon,Washed,MediumFilter,SmokyGrainPepperSpicesNutty/CocoaRaspberryCitrus FruitFruity
455,Swiss Water Decaf Colombia,Peru,Symposium Coffee,Bourbon,Natural,Medium,RoastedPungentMaple SyrupSweetCitrus Fruit
456,Indonesia Bener Meriah - Whole & Ground Roasted Coffee Beans,Colombia,Copper,BourbonJackson,Honey,Omni,Dark ChocolateVanillaBerryDried Fruit
457,Uganda Cherry Robusta,Burundi,Roastery Hope Coffee,BourbonParainema,Natural,Omni,AlmondChocolateCherry
458,Organic Fairtrade Indonesian Sumatra Mandheling,Peru,Wogan Coffee,Red Bourbon,Washed,Light,ChocolateVanillaPeachCitrus Fruit
459,Costa Rica: Edition 22.075,Mexico,Hasbean,CaturraBourbonCatuai,Washed,Omni,BlackberryPineapple
460,El Salvador Rfa Tapantgusto Washed Arabica Roasted Coffee,Colombia,White Rose,SL-14Catimor / AtengSL-28,Washed,Omni,HoneyPomegranateOrangeCitrus FruitFermented
461,Nyarusiza,Nicaragua,Pact,Arabica,Washed,DarkFilter,NuttySweetRoseRaspberryFruity
462,"Filter - Rwinyoni, Rwanda - Honey, Clementine, Pomegranate",Costa Rica,Carnival,Bourbon,"DecafWashed, Swiss Water",Espresso,ChocolateAppleCitrus Fruit
463,"Don Pancho, Honduras",Colombia,Cast Iron,ColombiaCaturraTabiTypicaF6,Natural,Extra DarkOmni,NuttyChocolateSweetOrangeCitrus Fruit
464,"Turaco, Burundi",Colombia,Sunday Coffee,CaturraBourbon,"DecafWashed, Sugarcane (E.A.)",GreenFilter,ChocolateHoneySweetOther Fruit
465,Mexico Siltepec El Jaguar Shg Dark Roast,Indonesia,Pebble and Pine,ArabicaSL-34SL-28,Washed,Green,AlmondMolassesCaramelizedRaspberry
466,Uganda Season Iii Kalingwe,Uganda,CLO,CastilloColombia,Washed,Medium Dark,NuttyMaple SyrupSweetBlueberryPeachOrangeCitrus Fruit
467,Guatemalan Red De Mujeres Coffee,Indonesia,York Emporium,Catuai,Natural,Omni,CocoaCaramelizedSweetFloralFloralBerry
468,To The Moon - Guatemala,Costa Rica,Dark Arts Coffee,Colombia,Washed,,Roasted
469,Colombian La Laguna,El Salvador,Quirky Coffee Co,IHCAFE 90,Washed,,TobacoSpicesBerryCitrus Fruit
470,Gititu Aa,Rwanda,Colonna,Castillo,Washed,,AlmondVanillaSweetOther FruitOrangeCitrus Fruit
471,Guatemala Bosques De San Francisco Green Coffee Beans,Rwanda,Rave,Ethiopia / Sudan AssesionRume SudanSelection 9ArabicaTafarikelaHybrido de TimorRobusta,Washed,,Brown SugarGrapeAppleFresh
472,Kenya Ab Honey Bush Medium Roast,Honduras,Pebble and Pine,BourbonKent,Washed,,ChocolateBrown SugarFruity
473,"Espresso - Spirit Of Peace, Colombia - Sugar Plums, Candied Orange, Marzipan",Burundi,Carnival,Ethiopia / Sudan AssesionColombia,Washed,,TobacoNuttySweetVegetative
474,Nicaragua: Edition 22.074,Mexico,Hasbean,Red Bourbon,Natural,,CocoaCaramelizedHoneyPear
475,"Excelso Decaf, Colombia",Uganda,Cast Iron,Red Bourbon,Washed,,BerryPeachGrapefruitLimeCitrus Fruit
476,Honduras – Carlos Alfredo,Guatemala,TCC,SL-14,Natural,,SweetRaspberryGrapeLimeCitrus Fruit
477,Decaf Colombia Mustafa,Guatemala,Alpaca Coffee,CastilloColombia,Washed,,SpicesFruity
478,Gems Of Araku,Colombia,Naked Roaster,PacasParainemaLempiraIHCAFE 90Catuai,Washed,,SweetOther FruitFruityWiney
479,Tanzanian Specialty Coffee - Yetu Tamu Aa,Kenya,The Flat Cap,Robiaceae Coffea,Washed,,MolassesCaramelizedBlackberry
480,Taster Pack – Discover Edition,Guatemala,TCC,Arabica,Washed,,MolassesSweetCherryOrangeFruityOther
481,Rwanda - Shyira Natural,Kenya,Chipp Coffee,PacasBourbon,Washed,,Dark ChocolateRaisin
482,"Rwanda, Kanya 019",Colombia,Sacred Grounds,Arabica,Washed,,HazelnutChocolateNutty/CocoaVanillaSweetOrangeCitrus Fruit
483,"Espresso - Zombo, Uganda - Molasses, Cherry, Orange Zest",Nicaragua,Carnival,Ethiopia / Sudan AssesionAcaiaRobiaceae Coffea,Washed,,ChocolateVanillaSweetFruity
484,Gran Fondo Filter,Colombia,Pact,CaturraBourbonTypica,,,HazelnutChocolateFloralAppleCitrus Fruit
485,Honduran Specialty Coffee - La Torera,Honduras,The Flat Cap,Catuai,,,ChocolateCaramelizedRaisin
486,Guatemalan Specialty Coffee - Todosantarita,Colombia,The Flat Cap,Robiaceae Coffea,,,JasmineFloralFloralBerryPineappleOther FruitCitrus FruitFruity
487,Shibden Blend Arabica Roasted Coffee,Timor,White Rose,Red Catuai,,,MolassesMaple SyrupCaramelizedSweetGrape
488,Golden Axe - El Salvador,India,Dark Arts Coffee,SL-34SL-28,,,ChocolateCitrus FruitFruity
489,Copan-Cabana,Ethiopia,Bristol Twenty,TypicaCatimor / Ateng,,,AppleLemonLimeCitrus FruitFresh
490,Ethiopian Limu Natural Arabica Roasted Coffee,Tanzania,White Rose,CaturraBourbonTypica,,,ChocolateCaramelizedApple
491,Galapagos | Limited Edition,Kenya,CLO,CastilloColombiaCaturra,,,NutmegSpicesSweetFloralBerryLimeCitrus Fruit
492,Brazil Fazenda Inhame Controlled Fermentation Arabica Roasted Coffee,Uganda,White Rose,ColombiaIcatu,,,RoastedSpicesNuttyChocolateSweetDried FruitPeachFruityWhiskey
493,"Filter - Dimtu, Ethiopia - Lime, Lemonade, Green Apple, Sherbet Fizz",Colombia,Carnival,,,,CaramelizedVanillaSweetOrange
494,Nicaragua: Edition 22.072,Ethiopia,Hasbean,,,,FloralFloralBerryFruity
495,Kenya – Kiandu Ab,Rwanda,TCC,,,,
496,Sumatra Mandheling Arabica Roasted Coffee,Rwanda,White Rose,,,,
497,Peru San Ignacio Dark Roast,Uganda,Pebble and Pine,,,,
498,Colombia Las Acacias Estate,Rwanda,Bristol Twenty,,,,
499,Honduras Arabica Coffee,Colombia,White Rose,,,,
500,Ethiopia | Dumerso,Ethiopia,Roost,Ethiopia / Sudan AssesionRobiaceae Coffea,Natural,Medium Light,FloralBlueberryBerry
501,Brazil Yellow Bourbon Pulped Natural Arabica Fazenda Do Lobo Roasted Coffee,Brazil,White Rose,Yellow Bourbon,Natural,MediumEspresso,ChocolateGrapeFruity
502,"Passiflora, Colombia",Colombia,Cast Iron,ColombiaCaturra,Washed,Espresso,CaramelizedBrown SugarRaspberry
503,Espresso Coffee - Tasting Pack 4 X 100g,Nicaragua,Carnival,CastilloColombiaCaturraPacamaraRobiaceae CoffeaCatuaiMaragogype,Washed,Espresso,RoastedAlmondDark ChocolateMaple SyrupCaramelizedHoneySweetBerryOther FruitOrange
504,Starter Bundle Of Our 3 Organic Coffees,Colombia,Exhale,Arabica,Washed,Dark,RoastedAlmondCocoaCitrus FruitFruity
505,Italian Espresso,Ethiopia,Clumsy Goat,Robiaceae Coffea,"DecafWashed, Swiss Water",Medium Dark,NuttyChocolate
506,Costa Rica,Brazil,Decadent Decaf,CaturraArabicaCatuai,Natural,Filter,SweetDried FruitPear
507,"Las Guerreras, Mexico, Natural",Indonesia,Girls Who Grind Coffee,Typica,Washed,DarkOmni,SweetBerryOther Fruit
508,Rwanda Burega Nº 148,Colombia,Rave,Bourbon,Washed,Omni,CaramelizedFloralCitrus FruitFruity
509,Peruvian Specialty Coffee - Elvis Tineo Rafael,Ethiopia,The Flat Cap,CaturraBourbonTypica,Natural,Medium,RaspberryApple
510,Colombian,Costa Rica,Clumsy Goat,CastilloColombiaCaturra,Washed,Espresso,AlmondChocolateCaramelizedOrange
511,"El Diablo  , , Single Origin",Mexico,Redemption Roasters,CaturraBourbonCatuai,Honey,Omni,RoastedCaramelizedVanillaCitrus Fruit
512,Brazil Ipanema,Rwanda,Roastery Hope Coffee,Icatu,Washed,DarkOmni,NutmegDark ChocolateSweet
513,"Amaca Association, Colombia, Washed",Peru,Girls Who Grind Coffee,Colombia,"Natural, Anaerobic or Macerated",Omni,AlmondChocolateAppleOther Fruit
514,Honduras Anaerobic Honey,Colombia,Lincoln Coffee Roasters,BourbonLempiraCatuai,"DecafNatural, Swiss Water",MediumEspresso,AniseSweet AromaticBerryCherryFruityWineyHerb-like
515,Formula 318,Nicaragua,Bristol Twenty,Mundo NovoEthiopia / Sudan AssesionCaturraBourbonTypicaArabicaRobiaceae Coffea,Washed,Medium LightEspresso,RoastedCocoaBerryCitrus Fruit
516,Mexican Water Process Decaf,Brazil,John Watt And Son,CaturraTypica,"DecafWashed, Swiss Water",DarkEspresso,NuttyChocolateCitrus Fruit
517,Heritage,Colombia,Bristol Twenty,ArabicaCatucaiRobusta,Natural,Filter,RoastedChocolateCaramelizedApple
518,Colombia Excelso - Whole & Ground Roasted Colombian Coffee Beans,Honduras,Copper,Colombia,Natural,LightOmni,NuttyChocolateSweetChemical
519,Organic Honduras Swiss Water Decaf,Costa Rica,Quirky Coffee Co,CaturraPacasBourbonCatuai,Washed,DarkFilter,SmokyNuttyMolassesCaramelizedBerryCitrus Fruit
520,Formula 442 – Cafetiere Sachets – 75 X 32g,Brazil,Bristol Twenty,Ethiopia / Sudan AssesionBourbon,Honey,MediumOmni,RoastedNutmegPeanutsNutty/CocoaVanillaFresh
521,Pb & J,Ethiopia,Carringtons Coffee Co,SL-14AcaiaSL-28,Washed,Medium,AlmondChocolateApple
522,Errrrm,Mexico,Alpaca Coffee,Castillo,"DecafWashed, Swiss Water",Extra DarkOmni,CaramelizedBrown SugarRaspberry
523,"Passiflora, Colombia",Brazil,Cast Iron,ColombiaCaturra,Washed,Medium,AniseCinnamonAlmondChocolateDark ChocolateCaramelizedVanillaCitrus Fruit
524,Mantiqueira Selected Farms,Guatemala,Roastery Hope Coffee,Mundo Novo,Natural,Omni,SpicesAlmondBrown SugarSweetLemonCitrus Fruit
525,Rwanda | Twongerekawa Coko | Produced & Roasted By Women,Colombia,CLO,Bourbon,"DecafWashed, Swiss Water",Medium LightOmni,ChocolateBrown SugarFruity
526,"Excelso Decaf, Colombia",Honduras,Cast Iron,Colombia,"Natural, Anaerobic or Macerated",Medium,VanillaBerryCherryOverripeVegetative
527,"New: Kenya, Rianjagi Aa",El Salvador,Sacred Grounds,SL-34Ruiru 11BatianSL-28,Natural,Medium Light,SweetFloralStrawberryCherryPear
528,Colombia El Carmen,Indonesia,Django Coffee Co,CastilloCaturra,Washed,Omni,MaltSpicesChocolate
529,Swiss Water Decaf No 11,Ethiopia,Rave,Ethiopia / Sudan Assesion,Washed,Green,SweetFruity
530,"Adola, Ethiopia",Uganda,Cast Iron,Red Catuai,"DecafNatural, Swiss Water",Medium DarkOmni,ChocolatePeachOther FruitCitrus Fruit
531,Brazil Natural,Brazil,Lincoln Coffee Roasters,CastilloColombiaCaturra,"Natural, Anaerobic or Macerated",MediumOmni,AlmondBerryOther
532,Colombia | Plandas,Brazil,CLO,Caturra,Washed,Omni,Dark ChocolateMolassesCaramelizedBlackberryCherryAppleFresh
533,Colombia: Edition 22.058,Colombia,Hasbean,TupiCatuai,Natural,Omni,NuttyChocolateFruity
534,Novo,Colombia,Sollie Box,CaturraCatuai,Washed,Medium,CocoaVanillaOrange
535,Costa Rican Tarrazu,Brazil,Quirky Coffee Co,Sigarar UtangCatimor / AtengHybrido de Timor,Washed,Omni,FloralBlueberrySour
536,Java - Rujak Bebeg,Rwanda,Exe Coffee,CastilloColombiaCaturra,Natural,MediumOmni,RoastedAlmondVanillaSweetBerry
537,"Espresso - La Virgen, Colombia - Jam -Mixed Berries - Roasted Almonds",Colombia,Carnival,BourbonPacamara,"DecafWashed, Swiss Water",Medium Dark,CaramelizedAppleOther Fruit
538,El Salvador Los Angeles Natural Process,Kenya,York Emporium,Java (Cultivar)Typica,"Natural, Anaerobic or Macerated",MediumOmni,RoastedSpicesHazelnutChocolateCaramelizedSweetCitrus Fruit
539,Old Brown Java Special Edition,Colombia,John Watt And Son,SL-14SL-28,Washed,Green,NuttyCaramelizedHoneySweetPeachPear
540,Uganda Mbata,Ethiopia,Django Coffee Co,ColombiaArabica,Natural,Medium Dark,RoastedSweetCitrus Fruit
541,Colombia Excelso Dark Roast,Brazil,Pebble and Pine,CastilloCaturraTypica,Natural,Light,ChocolateDark ChocolateNutty/CocoaCaramelizedSweetBerryCitrus FruitFruity
542,Planadas Organic - Colombia,Colombia,Foundry Coffee Roasters,Bourbon,Washed,Medium Light,CaramelizedLime
543,El Salvador: Edition 22.066,Colombia,Hasbean,ColombiaArabica,Washed,MediumOmni,ChocolateDark ChocolateMaple SyrupSweetCherryCitrus Fruit
544,Swiss Water De-Caf | Honduras Capucas Cooperative,Brazil,Roost,Bourbon,Washed,MediumFilter,CaramelizedVanillaPeach
545,Lonchura Malacca,Costa Rica,Quirky Coffee Co,SL-34SL-28,Washed,MediumOmni,AniseBrown SugarVanillaSweetBerryCitrus FruitFruity
546,Camping Blend | Medium/Light Roast,Indonesia,CLO,SL-14SL-28,Natural,Espresso,HoneyFloralStrawberryDried FruitPeachFruity
547,Muthua-Ini Aa - Kenya,Colombia,Foundry Coffee Roasters,Ethiopia / Sudan AssesionArabica,Washed,Green,PeanutsChocolateNutty/CocoaCaramelizedVanilla
548,Anthracite No2,El Salvador,Coaltown Coffee,Red Bourbon,Natural,Medium,SweetFloralFloralCitrus Fruit
549,Brazil Fazenda Cetec,Indonesia,Alpaca Coffee,BourbonSL-34SL-28Kent,Washed,Espresso,RoastedAniseNutmegSweetFruityFermentedOverripeFresh
550,Ethiopia Coffee (banksy),Uganda,Art & Coffee,CaturraBourbonParainemaTypicaLempiraCatimor / AtengCatuai,Honey,DarkOmni,CaramelizedBrown SugarBerryLimeFruity
551,Rwanda Kanya,Colombia,Carringtons Coffee Co,Ethiopia / Sudan Assesion,Natural,Omni,NuttyChocolateOther Fruit
552,Kenya Aa Arabica Roasted Coffee,Colombia,White Rose,Ethiopia / Sudan Assesion,Washed,Medium Light,RoastedChocolateRaisinDried FruitCitrus FruitFruity
553,Solomon'S Porch Fairtrade Blend,El Salvador,CLO,Bourbon,Washed,Omni,RoastedNutty
554,"(limited) Bany Murah, East Haraz, Yemen",Honduras,Sunday Coffee,Robiaceae Coffea,Washed,LightOmni,RoastedNutty/CocoaHoneyVanillaSweet
555,Green Ethiopia Coffee Beans 900g,Malaysia,Art & Coffee,CastilloMundo NovoColombiaCaturraTypicaArabicaCatuai,Natural,Omni,NuttyDark ChocolateCaramelized
556,El Salvador Dos Soles,El Salvador,John Watt And Son,Yellow Catuai,Honey,MediumOmni,RoastedNuttyChocolateCaramelized
557,Brazilian Super Crema,Nicaragua,Clumsy Goat,Yellow CatuaiMundo Novo,Wet Hulled,Medium Dark,Brown SpiceMolassesCaramelizedSweetDried FruitApple
558,House  Coffee Blend - Whole & Ground Roasted Coffee Beans,Kenya,Copper,Bourbon,Natural,DarkOmni,MaltChocolateNutty/Cocoa
559,Sow Blend,Uganda,Perky Blenders,Colombia,Washed,Filter,ChocolateBrown SugarSweetOther Fruit
560,Planalto,Brazil,Pact,CaturraBourbonArabicaCatuai,Washed,Omni,ChocolateCaramelizedVanillaSweetCitrus Fruit
561,"Esmeralda, Brazil",Ethiopia,Sunday Coffee,TopázioMundo NovoCatuai,Washed,LightFilter,RoastedWhiskey
562,El Salvador Shg Finca San Antonio Medium Roast,Rwanda,Pebble and Pine,CaturraSL-14Yellow BourbonSL-28,Natural,Medium,MaltRoastedNuttyVanillaSweet
563,Nablus - Colombia Natural,Kenya,Chipp Coffee,CaturraEthiopia / Sudan AssesionPacamaraBourbonGimmaCatimor / AtengCatuaiHybrido de TimorRobustaKaffa,Washed,Omni,VanillaOrange
564,Riposo,Peru,Wogan Coffee,Catuai,DecafWashed,Filter,ChocolateMolassesCaramelized
565,El Jaguar,Honduras,John Watt And Son,Arabica,"Natural, Monsooned",Omni,TobacoDark Chocolate
566,Brazil Monte Carmelo | Produced & Roasted By Women,Rwanda,CLO,Arabica,Natural,Espresso,NuttyCocoaNutty/CocoaVanillaSweetPeachCitrus FruitFruity
567,Candle Light No1,Yemen,Coaltown Coffee,Obata,Natural,Omni,CloveSpicesChocolateNutty/CocoaMaple SyrupHoneyBrown SugarSweetFloralBerryDried FruitCitrus FruitFruityWiney
568,Organic Fairtrade,Ethiopia,Wogan Coffee,ColombiaCaturraTabiTypicaF6,Washed,Medium,RoastedSpicesVanillaFloral
569,La Nueva Montana - Guatemala,El Salvador,Foundry Coffee Roasters,Colombia,Washed,Medium Dark,Chocolate
570,Fairtrade Costa Rica Dark,Brazil,John Watt And Son,BourbonTypicaBlue MountainSL-28,Natural,Medium,NutmegHoneyFruity
571,House Coffee,Costa Rica,Pact,Caturra,Washed,Omni,MolassesCaramelizedVanillaSweetBerryPineappleLemonFruity
572,"Aracelly Robles, Costa Rica, Washed, Part 2",Brazil,Girls Who Grind Coffee,Robusta,Washed,MediumFilter,RoastedFloralWhiskey
573,Colombian La Laguna,Colombia,Wogan Coffee,Arabica,Natural,Omni,ChocolateCaramelizedSweetPeachOther FruitCitrus FruitFruity
574,575 - Colombia Anoxic Natural,India,Chipp Coffee,Red Bourbon,Decaf,Omni,ChocolateMaple SyrupPear
575,Dreamlanders - Tanzania,Brazil,Dark Arts Coffee,Yellow CatuaiCaturraRed Catuai,Washed,Dark,TobacoAniseDark ChocolateSweet AromaticBlackberryHerb-likeMusty/Earthy
576,Decaf: Colombia La Serrania,Brazil,Hasbean,CastilloColombiaCaturra,Washed,Omni,TobacoSmokySpicesCitrus FruitMusty/Earthy
577,Double Punch Blend,El Salvador,Naked Roaster,Pacamara,Washed,Omni,Dark ChocolateMaple SyrupSweetFloralFloralCherryLime
578,Monsoon Malabar,Colombia,John Watt And Son,CaturraBourbon,Washed,,SpicesFloralStrawberryWineyMusty/Earthy
579,Tiddy Mun – Rwanda,Mexico,Seven Districts,CastilloColombiaTypica,Washed,,Dark ChocolateCaramelizedBlack TeaFloral
580,Nicaraguan La Bastilla Natural,Brazil,Wogan Coffee,ParainemaLempiraCatuai,Washed,,Dark ChocolateMaple SyrupFloralApple
581,Lonely Origin – Blend,El Salvador,Seven Districts,Arabica,"DecafWashed, Sparkling Water (CO2)",,ChocolateCaramelizedPeach
582,"El Salvador, Valiente Family",Uganda,Symposium Coffee,CaturraBourbonTypicaRobiaceae Coffea,Natural,,ChocolateMaple Syrup
583,Roberto Ortiz,Brazil,Coaltown Coffee,CaturraBourbon,Washed,,ChocolateNutty/CocoaVanillaStrawberryCitrus Fruit
584,Colombian Specialty Coffee - Cundinamarca Viani,Indonesia,The Flat Cap,Blue Mountain,Natural,,ChocolateMolassesCaramelizedApple
585,Honduras | Rina Mejia,Honduras,CLO,Ruiru 11SL-28,,,ChocolateCaramelizedPeach
586,"Brazil, Rancho Grande",India,Symposium Coffee,TypicaMokkaHybrido de Timor,,,ChocolateSweetBerryFruitySour AromaticsFresh
587,Decaf Roast Coffee Beans,Ethiopia,Presto,CastilloColombiaRobiaceae Coffea,,,ChocolateRaisinApple
588,The Lincoln Imp – Blend,Guatemala,Seven Districts,ColombiaArabica,,,RoastedNuttyBerry
589,Guatemala Bosques De San Francisco Nº 52,Costa Rica,Rave,USDAS795,,,NuttyCaramelizedSweetDried Fruit
590,Jamaica Blue Mountain Coffee,Costa Rica,York Emporium,CastilloCaturraTypica,,,NuttyChocolateNutty/CocoaCaramelizedVanillaBerryFruity
591,Kenya Peaberry,Colombia,Quirky Coffee Co,BourbonCatuai,,,VanillaSour
592,"Coffee With A Cause - 100% Profits Donated Locally: Malabe, Timor-Leste",Colombia,Sunday Coffee,,,,ChocolateRosePeachOther Fruit
593,John Watt 1865,Tanzania,John Watt And Son,,,,NuttyChocolate
594,"Villamaría, Colombia - Washed",Colombia,Sunday Coffee,,,,NuttyChocolateCocoaCaramelizedVanillaSweet
595,Level Up Blend,India,Balance Coffee,,,,
596,Dark Roast Blend,Rwanda,Decadent Decaf,,,,
597,Indonesia Rantekarua,Nicaragua,Django Coffee Co,,,,
598,No. 9 Roast,El Salvador,Foundry Coffee Roasters,,,,
599,Brazil Santos Arabica Roasted Coffee,Peru,White Rose,,,,
600,Jenkin Jones,Nicaragua,Coaltown Coffee,CaturraBourbonTypica,"DecafNatural, Sparkling Water (CO2)",Medium,RoastedChocolateSweetCitrus Fruit
601,King Alfred Blend,Brazil,Quirky Coffee Co,Maragogype,Honey,Medium,NuttyHoneyCherryOther Fruit
602,Costa Rica: Edition 22.060,Nicaragua,Hasbean,Villa Sarchi,Natural,Green,CherryOther FruitOverripe
603,Santa Alina Natural,Costa Rica,Colonna,Bourbon,Natural,Espresso,Vanilla
604,Mexico - Espresso,Brazil,Sendero,CaturraBourbonTypicaArabica,Washed,Espresso,HazelnutAlmondApple
605,Decaf,Mexico,Hasbean,Caturra,DecafWashed,Green,ChocolateNutty/CocoaMaple SyrupVanillaPineapplePeach
606,Decaf Planalto,Brazil,Pact,Bourbon,"DecafWashed, Sparkling Water (CO2)",DarkOmni,MaltChocolate
607,Costa Rica: Edition 22.070,Costa Rica,Hasbean,Villa SarchiCaturraCatuai,Honey,Green,HoneyOverall SweetSweetOther Fruit
608,Heavy French Roast Coffee,Nicaragua,York Emporium,ArabicaRobusta,"Natural, Anaerobic or Macerated",Dark,SpicesDark Chocolate
609,Nicaragua Peralta Estates | Anaerobic Honey,Colombia,CLO,Red Catuai,Washed,Medium Light,ChocolateBerryRaisin
610,Colombian Excelso Arabica Roasted Coffee,Honduras,White Rose,CaturraBourbonTypica,Washed,Omni,SweetCitrus Fruit
611,"Don Pancho, Honduras",Honduras,Cast Iron,BourbonParainema,"DecafWashed, Swiss Water",MediumEspresso,NuttySweetRoseRaspberryFruity
612,Organic Fairtrade Honduran Swiss Water Decaf,Nicaragua,Wogan Coffee,CaturraPacasBourbonCatuai,Washed,Omni,NuttyChocolateMaple SyrupSweet
613,Espresso - Coffee Bundle 4 X 230g,Colombia,Carnival,CastilloColombiaCaturraPacamaraRobiaceae CoffeaCatuaiMaragogype,Washed,Omni,RoastedAlmondDark ChocolateMaple SyrupCaramelizedHoneySweetBerryOther FruitOrange
614,Colombia Excelso Half Caff,Ethiopia,Naked Roaster,CaturraBourbonTypica,Washed,Medium,ChocolateNutty/CocoaSweetCitrus Fruit
615,Blind Byard – Colombia,Colombia,Seven Districts,CastilloColombiaCaturraBourbonTypica,Natural,Espresso,RaisinPeachCitrus Fruit
616,Old Brown Java,Colombia,John Watt And Son,Typica,Honey,Espresso,TobacoSpicesSweetCitrus FruitWineyMusty/Earthy
617,Costa Rica Cerro Dragon,Indonesia,John Watt And Son,CaturraCatuai,Natural,Filter,SweetOther Fruit
618,Futuro - Brazil,Costa Rica,Coffeestry,Red Catuai,Washed,Espresso,Dark ChocolateSweetOrange
619,Papua New Guinea Mountain Top,Brazil,Adams & Russell,BourbonTypicaArushaArabicaBlue Mountain,Honey,Extra LightEspresso,ChocolateBerryRaisin
620,Navio,Papua New Guinea,Adams & Russell,TypicaArabicaHybrido de Timor,Washed,Espresso,ChocolateBerryApple
621,Brazilian Fazenda Sertão Peaberry,Costa Rica,Adams & Russell,Yellow Bourbon,Washed,Espresso,MolassesCaramelizedVanillaLemon
622,Indian Tiger Stripes,Brazil,Adams & Russell,ArabicaRobiaceae CoffeaRobusta,Washed,Espresso,AniseSpicesCocoaSweet AromaticHerb-like
623,Fairtrade Peru Cecanor Lambayeque - Women'S Cooperative,Timor,Adams & Russell,CaturraPache ComumBourbonCatimor / Ateng,Washed,Omni,HazelnutBrown SugarSweetCitrus Fruit
624,'Tis The Season Blend,Brazil,Adams & Russell,BourbonArabica,Washed,Espresso,CinnamonAlmondOrange
625,Peninsula Blend,India,Adams & Russell,Ethiopia / Sudan AssesionArabica,Washed,DarkFilter,AlmondHoneyVanillaBlueberry
626,Ethiopia Sidamo,Peru,Adams & Russell,Ethiopia / Sudan AssesionArabicaRobiaceae Coffea,"DecafWashed, Mountain Water",MediumEspresso,AlmondBlueberryLemon
627,Decaffeinated Mexico,Mexico,Adams & Russell,Robiaceae Coffea,Honey,Omni,CaramelizedVanilla
628,Faros,El Salvador,Adams & Russell,Catimor / Ateng,"Natural, Monsooned",Filter,ChocolateVanillaStrawberry
629,India Monsooned Malabar,Honduras,Adams & Russell,ArabicaRobusta,Washed,Extra DarkFilter,CerealSpicesMolasses
